stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,902.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.12,154.64,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,36.69,0,0,0,0,10.17,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.5,0,0,0,0,0,10.24,0,0,0,0,0,0,0,0,0,39.27,4.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.06,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.47,13.93,0,0,78.93,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.31,6.04,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,6.75,1.09,0,0,0,2.12,0,0,5.13,2.91,0,0,2.66,0
 24-34,0,0,0,0,1.49,0.62,1.45,0,0.62,0,0,0,0,2.02,0.61,0,0,0,1.49,0,0,0.79,33.18,0.68,1.91,0.9,0,8.46,0,0,0,6.44,0,0,12.66,0
 36-46,0,0,0,0,11.45,0,9.07,0,0.89,0,5.09,0.86,0,0,0,0,0,0.91,0.62,0,0,0,31.58,0,1.42,0,0,8.91,0,0,0,19.26,0,0,8.64,0
 48-58,0,0,0,0,5.53,0,6.49,0,0,2.09,6.24,0.49,0,0,0,0,0,0,3.32,0,0,0.42,22.58,0,0.47,0.77,0,17.99,0,0,0,3.1,0,0,13.94,0
 60-70,0,0,0,0,8.76,0,56.7,1.38,5.6,4.03,10.77,0,0,0,0,0,0.59,0,8.22,1.53,0,2.08,27.52,0,5.16,0,0,22.56,0,0,0,2.88,0,0,7.94,0
 72-82,0,0,0,0.56,4.04,0,74.05,0,1.13,0,9.33,0.93,0,0,0.56,1.24,6.37,0,20.25,0.74,0.67,0,16.09,0,1.02,0,0,8.85,0,0,0,0.58,2.33,0,12.55,0
 84-94,0,0,0,0,16.68,0,42.09,0,2.37,0,1.75,0,0.99,0,0,1.61,0,7.32,11.25,0,3.99,0.93,19.3,0,0,0.92,0,29.94,0,1.07,0,0,1.21,0,6.87,0
 96-106,0,0,0,0,1.47,0,81.46,0,0.58,0.82,1.89,0.98,0,1.02,0,1.89,0,0,5.83,1.96,2.17,4.63,31.04,0,1.03,0.85,0,23.08,0,0,0,3.25,3.73,1.16,2.5,2.87
108-118,0,0,0,0,7.65,0,33.95,0.64,1.81,0.84,5.75,2.41,0,0,1.74,1.64,0.78,0,4.05,0,1.29,1.54,22.24,0,1.44,0.43,0,17.29,0,0.43,0,0,0.56,0,17.65,0.54
120,0,0,4.34,0,15.25,0,15.18,1.61,2.96,0,22.52,0,0,0,0,0,0,0,1.15,0,0,0,22.35,0,0,0,0,12.8,0,0,0,0,0,0,10.1,0
