stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,146.15,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.3,0,0,0,0,0,0,0,0,0,0
  5-6,22.26,685.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.53,9.03,0,20.38,0,0,0,15.53,0,0,0,0,0,42.63,0,0,0,0,0,0,0,0,0,0,0,104.98,0,0,0,11.66,0,0,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,14.1,0,0,0,0,0,0,0,0,0,21.52,0,0,0,0,0,0,0,0,0,0,0,300.64,7.75,0,0,10.04,0,0,16.55,13.09,0,0,0,0,0,0,0,0
 14-21,0,0,3.2,6.82,121.42,6.01,0,187.52,0,3.77,0,5.49,38.79,0,0,0,10.18,0,0,0,0,33.94,0,0,25.95,816.64,2.43,1.04,0.96,2.31,0,1.57,0,30.79,7.56,7.99,160.84,0,0,0,0,0
 24-34,0.88,0,0.96,13.55,65.05,0.6,0,621.1,0,15.53,0.69,41,17.38,0,6.98,0,1.62,0,1.08,4.01,0,85.53,0,0,40.51,3247.12,0,8.99,6.85,1,0,3.38,0,19.99,0,3.55,427.79,0,0,4.86,0,0
 36-46,0,0,0,0.56,32.93,0,0,1215.42,0,22.52,2.01,280.49,4.56,0,2.33,0,0,0,0,0,2.39,163.3,0,7.43,48.66,3716.06,0.84,7.29,14.25,0,0,24.02,0,21.32,0,1.09,564.64,0,0,2.67,0,0
 48-58,0,0,0,0,61.3,0,0,1896.06,0.58,18.69,5.3,479.9,7.27,0,4.33,0,0.97,0,2.2,0.39,0,291.2,0.45,1.92,66.16,4162.23,6.25,9.7,12.1,0,0.56,2.86,0,11.19,0,0,612.23,0,0,0.44,0,10.02
 60-70,0,0,0,0,46.69,4.68,0,2218.23,7.73,18.3,4.07,459.94,5.76,9.59,0,1.31,1.39,4.05,2.23,18.11,0,392.05,2.31,1.09,48.81,3764.97,2.19,3.56,18.51,0,0,18.1,0,4.36,0.62,0,315.67,2.56,0.9,11.4,0,5.08
 72-82,0,0,1.86,0,47.77,1.98,0,1824.55,2.31,16.55,9.27,354.74,2.35,0,3.07,0,6.29,7.74,4.82,0,0,504.83,0,7.34,26.56,2992.81,0,0.49,17.58,0,1.61,2.13,0,11.37,3.45,0,226.75,11.44,4.82,3.77,9.35,16.21
 84-94,0,0,5.95,0.57,46.84,11.39,0,1151.41,12.52,41.49,24.13,266.71,10.93,0,2.41,1.88,4.46,14.87,2.64,2.93,4.81,447.06,0,6.69,21.51,1903.85,0,3.34,6.92,0,0,12.16,0,6.13,0,0,123.14,4.53,1.79,12.89,18.93,0
 96-106,0,0,2.63,1.2,22.23,3.22,0,841.06,5.8,11.47,18.26,243.35,5.5,0,2.38,1.91,19.24,0,3.57,2.68,0,314.19,2.03,4.68,18.96,1531.97,1.46,3.28,5.5,0,0,25.42,0,3.48,0.74,0,60.83,3.59,1.66,7.02,4.82,9.51
108-118,0,0,0.47,0,42.52,8.99,0.5,842.4,1.89,24.21,6.27,257.48,5.39,0,3.73,3.62,4.82,9.91,4.49,2.02,1.75,360.92,0.43,1.16,24.14,1826.16,1.01,2.79,31.72,0,0,7.5,0,7.91,0,0,34.56,2.77,1.18,2.14,10.62,0
120,0,0,0,0,69.45,14.65,14.01,963.64,7.09,18.75,22.21,562.46,15.32,0,0,0,1.48,9.42,8.75,6.32,0,335.5,0,0,18.26,2823.2,5.58,1.29,23.53,0,3.68,13.64,0,5.18,0,0,109.99,0,0,1.1,8.44,7.26
