stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.98,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,4.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.97,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,6.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.27,0.9,0,0,0,0,0,0,1.22,0,0,0,0,6.25,0,1.21,43.21,0,3.47,0,0,0,1.58,1.76,14.01,0,0,0,0,0
 24-34,0,0,0.66,0,2.49,0,0,7.23,0,0,0,0,2,0,0,0,0,0,0,0,265.47,0,18.14,0,0,0,0,0,66.86,0,0,0,0,0
 36-46,0,0,1.4,0,0.66,0,0,24.38,0,0.67,0,0,1.71,0,0,0,0,3.89,0,0.57,846.42,1.06,13.22,5.55,0,0,0,0,99.06,0,0,0,0,0
 48-58,0,0,0,0,7.83,0,0,137.76,0,0,4.92,0,0,1.99,0,0,1.34,5.85,0,2.48,1047.37,0,9.6,6.68,0,1.01,0,0,153.41,0,0,0,0,7.66
 60-70,0,0,0,0,23.95,0,0,398.37,0,0,11.2,0,0,0,0,0,0,13.58,0,1.8,1581.81,0,3.3,1.73,0,3.5,0,0,366.46,0,0,0.84,0,0
 72-82,0,0,2.28,0,8.99,1.6,0,548.51,0,1.73,19.89,0.54,0,4.63,2.04,0,0,22.71,0,3.46,1747.17,0,15.9,2.89,0,4.66,0,0,303.14,3.64,1.15,2.33,0,0
 84-94,0,0,3.64,0,3.45,0,0,498.08,2.49,0,22.92,4.18,0,0.6,5.42,0,2.93,20.8,3.09,7.38,1413.66,0,19.73,5.42,0,2.62,0,0,167.84,0.74,1.91,0,1.13,0
 96-106,0,0,6.17,0,11.18,19.83,0,586.71,0,0,36.21,4.4,0,0,1.57,2.21,9.55,11.4,0,2.41,1200.72,0.66,14.43,10.43,0,0,0,0,59.04,0,2.17,0,0.64,0
108-118,0,0,3.69,0,23.31,2.27,0.62,555.27,0,0,27.09,9.09,1.61,0.45,0,0,0.56,28.03,0,0,1640.83,0,24.04,22.9,0,5.68,0,0,72.7,3.57,2.38,2.4,1.44,0
120,0,0,0,0,4.49,16.67,0,614.78,0,5.14,40.15,8.85,0,0,0,1.88,0,46.85,0,3.48,3206.42,0,22.62,14.61,0,5.25,0,0,201.55,0,0,0,17.64,0
