stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,273.98,0,0,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.39,0,0,0,18.96,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,61.1,0,0,0,6.24,4.49,0,0,0,0,0,0
 14-21,0,0,0,4.62,2.95,3.37,0,0,0,0,0,0,0,0,0,2.78,0,0,37.34,0.83,0,0,0,0,0.92,3.44,10.18,0,0,0
 24-34,0,0,0,2,0,5.76,0,2.2,0.63,0,0,0,0,0.82,0.71,6.35,0,0.69,336.24,0,0,0.61,0,1.48,0,0,56.57,0,0,0
 36-46,0,0,0,0.65,0,2.7,3.07,9.24,0,0,0,1.21,0,0,0,2.79,0,0,117.95,0,1.23,0,0,0,0,0,26.81,0,0,0
 48-58,0,0,0.43,2.07,0,14.58,0,13.55,0,0.48,0,0,2.19,0,0,2.18,3.08,0,50.81,0,0,0,0,1.25,0,0,10.59,0,0,3.02
 60-70,0,0,0,0.6,0,32.1,0,3.73,0,0,0,0.6,0.89,0,0,0,0,0,52.04,0,0,0,0,2.11,0,0,8.28,0,0,0
 72-82,0,0,0,0,0,6.83,0,4.02,2.57,0,0,0,0,0,0,14.24,0.61,0,29.87,0,0,1.28,0,0,0,0,2.16,0,0.63,0
 84-94,0,1.43,0,1.5,0,4.54,0,2.18,1.36,0,2.55,3.57,0.6,0,0,1.2,0,2.84,5.15,1.31,0,1.27,0,2.36,0,0,0,0,3.85,0
 96-106,0,0,0,0,0,8.89,0,2.96,0,0,0.93,0,1.89,5.48,4.24,6.27,0,0,22.35,0,0,1.57,0,9.89,0,0,0,1.26,0.62,0
108-118,0,0,0,7.12,0.48,18.77,0,5.67,1.72,0,0.82,0.67,4.43,1.22,3.67,7.04,0,0,14.91,3.15,0.57,0,0,9.52,0,0,0,0,1.54,0
120,0,0,0,21.01,0,10.99,0,0,0,0,0,0,0,1.76,0,9.32,0,0,42.44,0,0,0,0,5.16,0,0,0,0,0,0
