stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,182.08,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,48.77,6.44,8.69,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,29.24,0,0,0,0
 14-21,0,0,2.85,0,0,0,0,1.72,0,10.02,0,0,0,0,5.79,0
 24-34,0,0,0,2.4,0,0,1.14,0.59,0,19.32,0,0,0,0,2.39,6.69
 36-46,0,0,0,0,0,0.6,0,1.42,0,10.31,0,0,1.25,0,1.04,0
 48-58,0,0,1.4,2.49,0.41,1.63,0,1.88,0.42,13.25,0,0,0,0,5.04,0
 60-70,0,0,0,0.79,0,0.91,0,0,0,4.42,0,0,0,0,5.31,0
 72-82,0,0,0,11.48,0,3.32,0,2.05,0,2.46,0,0,0,0,0,0
 84-94,0,0,0,1.95,0,0,0,1.9,0,3.18,0,0,0,0,0,0
 96-106,0,0,0,1.82,0,0.62,0,0.57,0,3.03,0,0,0,0.67,0,0.88
108-118,0,0,0,0,0,0.68,0,0,0,7.22,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.93,0,5.41,0,0,0,0,0,0
