stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,133.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,3.92,0,0,0,0,0,0,0,0
 10-12,24.49,0,0,0,0,0,0,0,0,0,0,0,0,34.75,0,0,12.9,0,11.92,20.95,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,0,0,0,0,3.52,0,0,4.47,0,0,0,0,0.91,0,0.86,1.21,2.96,0,0
 24-34,0,0.75,0,0,0,1.02,0,0.65,0,0,2.02,0,1.55,13.07,0,0,0,0,0,0,0,0,0.95,0,0
 36-46,0,0,0,2.78,0,2.34,0,0,0,0,3.56,0,0,40.98,1.69,0,0,0,0,0.63,0,0,6.74,0,0
 48-58,0,0,0,11.05,0,3.44,0,0,0,0,3.66,0,0.83,42.3,0.41,0,0,0,0,0,0,0,10.77,0,0
 60-70,0,0,0,8.24,2.52,2.92,0,0,0,0,4.45,0,0,23.04,1.17,0,0,0,0,0,0,0,5.41,0,0
 72-82,0,0,0,12.69,1.32,0,0,0.58,0,0,6.32,0,0,23.3,0,0,0,0,0,0,0,0,5.73,1.3,0
 84-94,0,0,0.98,12.78,0,2.22,0,0,0,0,3.95,0,0,16.61,0,0.65,0,0,0,0,0,0,7.21,4.83,0
 96-106,0,0,0,14.51,0,5.39,0,0.93,0.75,0.99,1.51,2.42,0,17.99,0,0,0,0,0,0,0,0,0,3.22,1.16
108-118,0,0,0,6.97,0,0,0.43,0,0,0,3.5,0,0,11.92,0,0,0,0,0,0,0,0,0,1.32,0
120,0,0,4.24,0,0,0,0,0,0,0,2.2,0,0,14.13,0,0,0,0,0,0,0,0,0,0,0
