stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.67,630.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.21,602.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,10.04,0,7.83,0,0,0,0,0,0,0,0,0
  7-9,10.81,18.41,0,12.95,0,0,26.09,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,225.67,21.26,0,0,76.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.99,0,0,0,53.73,0,0,0,3.49,0,3.28,0,0,0,0,0
 14-21,0,0,0,0,8.02,1.2,6.98,0,0,0,0.89,0,1.02,1.46,0,0,0,0,1.92,0,2.77,33.84,1.81,0,0,0,0,0,4.72,0,8.02,23.79,0,0,0,0,0
 24-34,0,0,0,0,4.2,0,5.86,0,0,0.9,0.61,0.67,0,0,0,0,0,3.8,8.91,0,2.6,127.55,0,5.28,0.74,0,0,2.7,0,0,3.21,21.65,0,0,4.74,0,0
 36-46,0,0,0,0,0.56,0,26.79,2.15,0,0,2.58,0,0,0,0,0,0,0,4.05,0,4.4,118.31,0,0,0.7,0,0,0.95,0,0,0,17.02,0,0,0,0,0
 48-58,0,0,0,0,2.09,0,23.07,0.38,0,0,6.76,0.39,0,0.87,0,0,0.74,0,7.45,0,0.52,101.21,0,0,2.27,0,0,4.98,0,0,0,12.12,0,0,0,0,0
 60-70,0,0,0,0,1.57,0,20.03,0,0,0,10.02,0,0,0,0,0,0,1.63,7.94,0,0,103.34,0,0.6,3.85,0,0.71,2.22,0,0,0,15.12,0,1.27,9.72,0,11.22
 72-82,0,0,1.09,0,2.75,0,24.38,0.74,0,0,6.44,0,0,0,0,0,0,0,20.14,0,0.74,39.99,0,0,0,0,0,0,0,0,0,3.58,0,4.34,0.64,2.57,0
 84-94,0,0,0,0,1.48,0,10.38,0,1.88,3.15,3.57,0,0,0,0,0,1.46,0,16.65,0,2.27,28.91,0,0,4,0,0,1.51,0,0,0,3.78,0,0.84,1.74,0.63,0
 96-106,0,0,0,0,4.74,0,7.36,0,0,1.68,10.67,1.2,0,0,0,2.1,0,0,4.35,0,2.23,19.04,0,0,0,0,1.77,2.69,0,0,0,2.47,0,0,1.15,0,0.79
108-118,0,0,0.52,0,4.68,0,13.73,0.47,1.08,0.8,9.63,0,0,1.62,1.42,0,0,0,9.88,0,0,34.89,0.48,0.54,0,0,0,1.22,0,0,0,1.31,0.81,0,2.32,0,0
120,0,0,0,0,5.04,0,17.41,0,0,0,6.66,0,0,0,0,0,0,0,45.35,4.03,0,63.69,1.73,0,0,0,0,4.48,0,0,0,7.65,0,0,2.27,0,0
