stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,364.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0
  5-6,13.04,410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,5.31,0,0,0,179.05,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,151.63,0,0,0,40.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.82,0,0,0,18.81,0,476.6,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,1029.55,0,0,0,21.71,0,0,10.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,76.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,0,1.25,108.57,0,1.51,0,0,0,0,0,0,1.01,12.26,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,203.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0.77,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,131.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,3.67,0,0,0,0,0,0,0,5.13,0,2.46,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,71.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0.46,0,14.17,0,0,0,0,0,0,0,5.55,0,2.05,0,1.37,0,1.8,0
 60-70,0,0,0,0,0.89,4.36,0,2626.12,1.99,0,0,2.08,0,0,0,0,0,0,0,0,0,3.05,0,4.64,7.71,23.55,0,0,0,0,0,3.61,0,5.81,0,0,0,14.16,0,35.75,0
 72-82,0,0,1.37,0,42.72,25.93,1.16,13418.62,2.47,3.48,5.13,63.58,3.04,0,2.9,2.58,0.83,9.13,0,5.12,2.32,70.97,0.73,7.12,6.07,352.93,1.67,3.86,0,0,5.18,20.78,0,6.32,0,23.9,1.64,36.87,4.55,82.2,30.18
 84-94,0,0,0,0,40.51,9.21,0,15717.02,1.03,2.54,0.91,19,0,0,1.5,4.26,1.33,0,1.1,2.4,0,74.46,1.21,17.03,13.78,176.93,0,12.71,2.85,0,0,24.13,2.53,7.86,0,13.69,2.5,33.07,1.74,103.12,5.84
 96-106,0,0,0,0,16.36,32.5,0.66,11137.36,1.72,0,2.5,29.89,2.85,0,0,1.79,1.53,9.5,2.39,20.4,0.98,70.94,13.83,1.69,5.08,223.7,0,0,10.04,0,8.84,32.2,1.4,2.38,0,10.25,0,16.39,12.47,102.38,10.46
108-118,0,0,0,0,32.94,3.46,0,7563.1,1.93,0.43,2.83,27.38,1.24,0,1.27,2.09,1.14,1.92,0,7.39,6.73,75.67,0,5.42,5.93,233.64,0.41,1.07,0,0,8.13,19.91,1.88,4.47,0,14.89,0,4.29,6.89,68.21,4.62
120,0,0,0,0,12.07,16.27,1.71,5741.54,0,0,1.29,7,12.53,0,0,1.97,0,0,0,1.05,0,72.12,0,13.12,6.69,136.53,0,0,3.1,0,14.12,6.33,0,2.07,0,0,0,7.36,3.16,37.01,16.89
