stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,392.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,0,0,0,0,0,0,0,0
  5-6,55.6,1945.94,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,35.63,15.57,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.87,66.9,0,29.11,0,0,231.69,0,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,2984.26,15.02,0,0,433.47,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.2,0,14.25,0,0,98.19,0,0,0,0,0,15.03,0,0,0,0,0,0,0,0,0,0,906.5,26.24,0,0,199.63,0,6.41,4.19,27.39,0,0,0,0,0,0,0
 14-21,0,0,1.07,10.79,137.35,11.61,44.69,0,0,0,22.64,1.79,1.97,4.35,0,3.41,0,0,19.57,67.16,0,0,32.87,1008.49,9.75,2.03,7.88,5.45,5.92,0,41.81,26.42,27.46,39.86,226.37,0,7.42,0,2.43
 24-34,0,0,1.69,0,15.09,1.83,50.89,0,0.68,0,4.18,4.14,0,0,0,5.92,0,0,0,30.15,0,0,16.32,378.71,1.77,0,0,0,1.4,0,0,3.59,22.98,3.55,54.67,0,9.34,0,0
 36-46,0,0,0,0,7.5,0,39.18,3.78,0,0,6.88,0,1.6,0.73,0.56,0,0,0,0,29.71,1.5,0,8.34,288.86,0,0,1.58,0,2.46,0,0,0,15.97,0.66,34.02,0,1.83,0,0
 48-58,0,0,0,0,1.84,0,8.24,0.66,0,0,4.21,0,0,0,1.42,0,0,0,0,6.35,0,0,1.64,57.47,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0
 60-70,0,0,0,0,0,0,19.23,0,0,0,0.81,0,0,0,6.6,0,0,0,0,0,0,0,2.11,20.73,0,0,0,0,0,0,0,0,0,0,1.77,0,0.75,0,0
 72-82,0,0,0,0,0.53,0,11.28,0,0,0,3.05,0,0,0,0.9,0,0,0,0,4.99,0,0,0.56,19.92,0,0.7,0,0,0,0,0,0,0,0,0,0,0,1.24,0
 84-94,0,0,2.22,0,3.37,0,8.14,0,0,0,0,0,0,0,0,0,0.82,0,0,10.84,0,0,0.76,14.74,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0
 96-106,0,0,0,0,0,0,13.92,0,0,1.73,3.48,0.62,0,0,2.13,0,0,0,0,9.21,0,0.67,0.79,5.05,0,0,0,0,0,0,0,0,0.73,0,0,0,0.83,0,5.05
108-118,0,0,0,0,1.13,0,0.71,0,0,0,0,0,0,0,1.13,0,0,0.74,0,4.32,0,1.99,5.63,24.06,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0
120,0,0,0,0,1.14,0,9.08,0,0,0,0,10.73,0,0,4.88,0,0,0,0,5.98,0,13.66,7.6,6.12,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0
