stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,5.77,0,0
 24-34,0,0,0,0,0.61,0,0,7.84,0,0,0
 36-46,0,0,0.84,0,0,0,0,26.77,0,0,1.43
 48-58,0,0,0.63,0,0.94,0,0.46,24.38,0,1.44,1.65
 60-70,0,0,3.17,8.38,0,0,0,55.48,0,0,1.76
 72-82,0.69,0,15.1,0,0,2.68,1.26,49.53,0,0,6.46
 84-94,0,0,8.29,0,0,0,0.85,60.37,0,0,0
 96-106,0,0,5.61,0,0,0,3.04,12.42,0,0,0
108-118,0,0.96,5.27,0,0,0,0,41.81,0,0,4.03
120,0,0,2.6,0,0,0,14.56,119.15,0,0,0
