stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,3.11,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,31.49,0,0,4.05,0,0
 36-46,0.58,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,1.53,75.91,0,0,0,0,0
 48-58,0,0,2.06,0,0,0.38,0,0,0,0,0,2.31,0,0,0,3.49,34.69,0,5.79,0,0,0.58
 60-70,5.28,0,7.6,0.86,0,0,0,0,0,0,0,1.32,0,0,3.13,3.87,57.17,0,0,0,0,0
 72-82,1.73,0,4.51,0,0.93,0,0,0,0,0,0,1.88,0,0,0,18.99,39.51,0,0,5.04,1.99,0
 84-94,1.01,0,3.53,8.18,0,0,0,1.12,1.16,0,0,3.81,0,0,2.11,18.76,110.04,0,0,2.65,0,0
 96-106,0.8,1.58,0,5.05,3.2,0,0,1.7,0,0,0,2.06,0,0.8,0.92,16.82,87.06,0,0,0,0,0
108-118,11.38,0,0,6.37,0,0,0.88,0.5,0.6,0,0,16.09,1.27,0.56,0.52,5.52,52.44,1.06,0,0,0,0
120,4.76,0,0,2.33,0,0,0,0,0,0,19.51,0,0,0,0,12.89,7.73,0,0,0,0,0
