stage,eye,glial,neural,paraxial_mesoderm,spinal_cord
  7-9,0,0,8.86,0,0
 10-12,5.2,0,3.71,11.76,0
 24-34,0,0,3.61,0,1.4
 36-46,0,0,3.54,0,0
 48-58,0.61,0.97,0.59,0,0
 60-70,0,0,1.42,0,0
 72-82,0,0,0.94,0,0
108-118,0.65,0,0.68,0,0
