stage,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
 14-21,1.03,1.05,1.02,0,0,0,0,4.42,1,0,1.31
 24-34,0,0,0,2.56,0,0,0,4.61,0,0,0
 36-46,0,0,0,0,0,0,3.5,0.59,0,0,0
 48-58,0,0,0,0,0,0,0.53,1.03,0,0,0.51
 60-70,0,0,0,0,0,0,0,0,0,0,1.62
 72-82,0,0,0,0,0,0,0,1.69,0,0,0
 84-94,0,0,0,0,0,0.65,0,1.75,0,0,0
108-118,0,0,0,8.12,0,0,1.25,0,0,0.5,0
120,0,0,0,13.55,3.1,0,0,0,0,0,0
