stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,9.66,1.21,4.93,0,0,0,20.08,0,0,0,0,0,0,0,76.52,0,0,1.32,1.18,0,0,0.92,0,0,32.57,0,0
 24-34,0,1.31,0,1.57,0,0,0,2.54,0,2.08,0,0,0,0.8,0.72,81.25,0,1.47,0.62,0,2.53,0,0,0.88,0.68,26.24,0,0
 36-46,0,5.32,0,0.75,0,0,0,0.98,0,0,0,0,0,5.8,0,86.3,0,2.33,0,0,11.04,0.81,0,0.7,0,27.1,0,0
 48-58,0,2.4,0,8.05,0.85,0,0,6,0,0,0,0,1.52,0.6,0.43,77.16,0,0,0,0,0.37,0,0,0,0,16.25,0,1.88
 60-70,0,0,0,33.71,0,0.99,0,38.61,0,0,0,0,0,0.63,0,91.11,0,3.45,0,0,3.17,0,0,0,0,10.59,0,0
 72-82,0,7.09,14.49,96.71,0,0,0.57,31.95,0.63,0,0,1.05,0,1.16,0,101.59,0,3.61,0.65,0,0,0,0,0,0,15.21,0,0
 84-94,1.46,2.3,0,75.93,0,0,0,40.95,0,0,0.62,0,0,3.91,0,52.5,0,1.17,0,0,3.43,0,0,0,0,1.27,0,0
 96-106,0,4.27,0,158.81,0,1.25,0,66.66,0,0,0,0,0,0.99,0,52.64,0,3.83,1.25,0,0,0,0,0,0,2.29,0,0
108-118,1.34,8.33,0,251.28,0,0.46,0,107.94,0.71,0,0,0,0,4.24,0.95,74.76,0.59,0,0.87,0,1.2,0,0,0,0,3.27,1.16,0
120,0,7.8,0,68.53,0,2.35,0,89.81,0,0,0,0,0,5.77,0,196.98,0,1.77,0,0,0,0,0,0,0,5.28,24.21,0
