stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,2.17,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,646.35,0,0,0,0,0,0,2.65,0,0,0.9,6.55,0,0,0,0,0
 24-34,0,0,0,17.64,2.58,0,450.11,0,3.01,2.84,435.89,1.59,0,6.84,0,0.6,0.63,0,0,1.57,51.34,1.56,3.26,12.66,18197.41,3.97,3.94,6.73,0,43.08,0,0,0.91,2.49,7.7,2315.15,0,0,10.49,0,1.72
 36-46,0,0.73,0,54.62,6.71,0,7789.78,5.52,3.88,3.23,7518.58,0,0,4.51,15.5,1.87,23.56,0.74,2.05,35.94,139.68,0,1.28,30.33,82283.85,12.98,21.76,21.41,0.97,89.25,0,2.87,10,0.62,0,14860.81,0,0,47.61,0,64.52
 48-58,0,0.4,0.57,150.88,2.28,0,13959.71,13.04,40.84,29.34,13962.72,0.46,0.54,10.78,17.5,7.67,22.49,8.39,27.78,26.12,235.12,3.12,11.58,51.17,53680.13,40.09,13.27,23.84,0.56,46.68,1.31,0,2.46,3.54,0,18383.55,0,2.69,31.65,0,84.07
 60-70,0,0.82,0,59.93,1.27,0,10049.37,0.68,5.8,3.58,6142.18,0,0,1.47,4.14,0.62,6.08,0.84,0,16.55,123.13,0,39.25,15.44,17894.1,10.95,8.84,20.68,4.31,26.31,0,0,9.99,2.28,0,6741.1,0.77,1.27,2.42,3.84,45.26
 72-82,0,0.78,0,70.54,4.74,1.29,4427.37,3.75,1.46,9.32,2954.38,4.15,0,1.54,9.56,1.73,4.07,3.18,14.17,3.31,85.13,0,2.36,9.77,8957.36,0,17.28,11.55,7.3,16.22,0,0,0,0,0,1524.94,4.92,3.66,5.43,1.81,44.81
 84-94,0,0,0,74.09,18.4,1.71,3736.6,1.33,2.18,9.02,2143.49,3.48,0,1.97,3.82,2.19,15.45,0,9.51,13.34,89.47,0.61,12.27,4.5,6043.23,2.79,3.96,11.79,16.07,20.8,0,0,1.76,0.8,0,1358.5,0,2.51,4.38,1.27,10.55
 96-106,2.68,0.99,0,110.62,28.04,4.27,3026.7,2.94,3.48,6.01,1869.8,6.38,0,4.28,2.63,3.24,5.58,0,23.77,0,101.45,0,4.85,9.75,5214.79,2.1,12.95,2.02,4.82,35.65,0,0,0,0,0,326.08,4.11,5.77,7.19,4,2.76
108-118,0,0.79,0,64.92,0.98,3.35,3113.58,1.18,0.97,1.17,2017.01,1.94,0,0,8.82,0,34.16,0,4.47,0,67.11,3.67,10.6,12.36,8428.13,1.09,21.81,10.34,12.67,15.25,0,0,0,0,0,246.04,0,3.61,3.27,3.02,4.41
120,0,0,0,79.29,1.39,5.29,2897.64,0,13.35,5.31,2386.58,0,0,4.06,1.18,0,12.3,9.66,5.48,0,141.64,2.91,15.23,9.8,8014.18,6.66,8.6,25.51,7.89,3.12,0,0,0,0,0,211.5,0,0,21.16,5.18,0
