stage,epidermis,erythrocytes,eye,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,0
 24-34,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,8.93,0,5.76,0,0,0,1.93,0,2.78,0,0,0,0,0
 48-58,0,0,40.49,0.56,0,0,0,0.39,0,0,0,3.24,0,5.13,0,0
 60-70,1.6,0,281.1,0.74,0,0,9.86,0,1.53,0,0,0,0,0,0,0
 72-82,0,1.66,329.62,0,0,0,1.55,0,3.55,0,1.42,0,3.1,0,0,0
 84-94,0,1.52,306.74,0,0,0,1.42,0,0,0,0,0.89,0,0,0,0
 96-106,1.5,9.31,285.87,1.63,0,0,0,0,17.25,0,0,0,0,0,0.64,0
108-118,3.1,6.34,240.55,0,0,2.34,1.74,1.33,3.05,0,0,0,0,0,0,1.37
120,0,0,164.92,0,0,0,6.03,0,3.86,0,0,0,0,0,3.03,0
