stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.04,0,9.72,0,0,0,22.22,0,0,0,0,0,0,0,0
 14-21,0,243.85,0,1.83,0,0,0,7.41,0,0,15.6,0,0,0,0,18.3,3.03,0,48.87,31.34,0,0,0,0,81.05,0.98,16.72,187.42,18.62,0,0,0,0,0
 24-34,0,21.63,0,2.35,0,0,0.72,1.53,0.92,0,17.41,0.8,0,0,1.19,27.7,0,0,20.51,3.85,0,0,0,0,0,5.8,5.83,18.1,8.11,0,0,40.95,0,3.2
 36-46,0,5.95,0,2.33,0,0.57,0,2.32,5.34,0,4.6,0.69,1.61,0,0,97.27,0,0,34.72,14.02,0,0,0,0,0,0,0,0,10.03,0,0,66.98,0,0
 48-58,0,2.35,0,6.58,0,1.58,1.97,0,4.65,0,1.39,0,0,0,0,69.99,1.61,0,4.73,7.91,0,0,0,0,0,0,0.67,0,19.27,0,0,47.15,0,0
 60-70,0,2.43,4.44,2.77,0,0,2.76,8.61,0.84,0,0,2.52,0,0,0,252.3,0,2.56,14.26,23.41,1.59,0,1.68,2.41,0,0,0,0,47.29,0,2.25,41.99,0,0
 72-82,0,8.56,0,14.16,0,0,1.86,8.75,1.13,0,5.8,0,0,0,0,275.79,0,0.75,8.17,5.07,2.02,0,1.75,4,0,0,0,0,42.79,0,20.59,22.19,1.62,0
 84-94,0,6.23,0,33.72,1.38,0,0.74,2.27,6.05,1.12,5.31,0,1.59,0,0,218.42,0,1.79,8.32,14.04,0,0,0,1.4,0,0,0,0,7.87,0,3.05,34.76,0,0
 96-106,0,1.89,0,9.95,0,1.55,0,5.76,1.29,0,6.85,0,2.39,1.54,0,182.81,0,7.42,5.25,31.65,6.03,0,0,15.95,0,0,0,0,44.89,0,0,25.33,2.79,0
108-118,0,3.91,0,21.71,0,0.54,2.94,12.65,6.86,0.42,17.84,0,0.98,0,0,308.27,0,10.21,5.01,28.55,2.57,0,4.38,23.68,0,0.99,0,0,13.6,0,8.3,31.1,1.42,0
120,0,7.95,4.98,26.35,0,0,2.8,0,1.17,0,2.36,0,0,0,0,268.19,0,16.98,2.83,9.17,1.12,0,0,12.14,0,0,0,0,0,1.81,0,5.47,0,0
