stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,3.08,4.78,3.77,0,0,3.68,1,0,0,0,0,0,0,0,1.97,0,0,0,155.36,0,0,0.99,0,9.01,0,0.92,0,0,3.03,53.45,0,0,1.49,0
 24-34,0,0,0,28.8,1.53,0,0,0,0.67,3.87,0,0,0,0,0,2.97,0,0,11.26,675.46,0,2.66,0,0,3.75,0,0,0.65,6.26,0,109.74,0,0,31.71,1.12
 36-46,0,0,0,103.23,0,1.23,23.83,0,0,0.67,2.37,0,0,0,0,7.07,0,0,1.25,1302.99,0,3.4,0,0,1.14,0,0,0,0,0,244.31,0,0,30.68,0
 48-58,0.54,5.08,0,340.07,0,0.86,54.12,0,0,6.35,0,3.43,0,0,1.56,11.28,0,3.39,2.24,1495.39,5.84,0.97,0.93,0,5.44,0.65,0,0,0,0,231.05,0,0,13.94,7.77
 60-70,0,7.74,0,530.19,0,0,57.67,0,0,17.46,0,0,0,0,0,5.09,0,0.75,6.72,1678.53,0,0,1.42,0,12.7,0,0,2.82,0,0,259.61,0,0,17.91,6.68
 72-82,1.32,7.18,2.89,443.26,0,0,38.27,1.23,0,5.6,0,5.22,0,0,0,11.86,0,0,1.81,1389,0,2.62,1.52,1.4,3.18,0,0,0.49,0,0,134.48,1.87,3.36,25.44,0
 84-94,0,3.41,1.4,309.95,0.58,0,42.43,0,2.36,20.46,0,0,0,0,0,8.37,0,0,0.75,1003.7,0,0,0,0,16.99,0,0,1.35,0,0,87.99,0.9,0.9,25.27,7.59
 96-106,1.15,22.79,4.5,221.64,1.01,0,35.03,0.8,0.76,11.77,0,0,0.71,0,0,16.58,0,0,2.41,616.99,0,0,0,0,15.92,0,0,0,0.66,0,60.76,0,2.83,11.78,0
108-118,0,18.48,0.91,187.69,1.07,0.5,23.55,0.94,1.01,13.33,0,0,0,0.6,0,17.26,0.93,4.59,1.25,729.67,0,4.58,0.55,0,3.83,0,0,0,0,0,33.7,0,0,43.28,0
120,0,3.85,5.28,262.96,0,0,46.99,1.15,0,22.09,0,0,1.15,0,0,18.15,0,0,0,1348.76,1.1,0,3.06,17.18,1.53,0,0,0,0,0,36.06,0,0,19.52,0
