stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.73,2621.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,271.68,2486.2,0,0,0,0,0,0,0,0,0,0,0,26.41,0,0,0,0,0,0,0,0,0,0,179.52,32.89,0,0,44.65,0,7.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,191.32,50.27,0,163.12,0,0,0,128.41,0,0,0,0,0,159.03,0,0,0,0,0,0,0,0,0,0,2109.93,319.83,0,0,1006.4,0,8.28,15.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.28,0,172.29,0,29.3,0,133.26,0,0,0,0,0,50.81,0,0,0,0,0,0,0,0,0,0,2134.82,129.03,0,0,784.42,0,0,3.03,0,55.35,0,9.97,0,0,0,0,0,0
 14-21,0,1.36,2.35,4.04,110.65,27.2,0,7.47,0,1,0,11.46,3.91,2.13,5.64,0,0,0,0,0,1.07,43.33,0,33.61,193.77,11.73,0,0,8.02,0,0,0,54.63,7.15,16.3,91.19,105.56,0,0,7.72,0,0
 24-34,0,0.83,0,1.27,37.78,4.87,0,24.63,1.2,3.41,2.49,18.08,2.45,0,8.32,1.02,0.66,0.8,1.08,1.47,1.6,99.93,1.21,39.04,476.39,11.37,3.39,4.17,0,0.99,0,0,0,6.84,1.44,24.01,165.58,0,0,96.42,0,2.97
 36-46,0,0,0,0,15.43,0,0,113.89,0,2.36,3.6,44.68,0,0,8.81,0,0,1.79,3.67,0,11.97,130.33,3.7,44.41,418.45,12.03,2.36,0,0,0,1.97,0,0,0.59,5.36,0,136.92,0,0,42.11,0,20.49
 48-58,0.58,0,0,0,20.79,0,0,116.56,0,1.21,6.87,35.7,0,0,6.76,0.56,0,0,0.45,0.37,5.58,124.79,4.32,34.95,251.49,1.27,0.82,2.56,0,1.25,0,0,0,0.43,1.25,0,104.48,0,1.3,44.06,0,8.16
 60-70,0,0,0,0,24.34,0,0,104.38,0.6,0.59,6.41,28.66,0,0,1.65,9.34,0,7.38,1.44,4.47,14.34,146.42,30.6,19.53,200.99,2.33,0.81,2.51,0,3.02,0,0,0,0,0.64,0,65.04,0,10.55,43.46,9,8.26
 72-82,0,0,0.87,0,7.06,0,0,37.71,0.88,1.8,7.41,35.66,2.18,0,7.69,3.96,0,1.84,0,0,4.09,148.57,19.75,10.38,114.52,0,2.14,6.29,0,7.99,0,0,0,0,0,0,7.67,0.5,13.76,45.65,14.92,3.87
 84-94,0,0,1.46,0,27.13,2.87,0,47.12,2.88,2.24,2.39,38.74,1.32,0,9.29,1.47,0,9.76,1.91,1.73,5.34,149.29,36.86,15.06,68.19,0.56,0,2.72,0,0.57,0,0,0,0,6.08,0,18.11,0,16.42,40.75,33.11,1.17
 96-106,0,0,4.65,0,12.61,1.02,0,28.95,4.31,1.07,3.95,33.12,2.51,0,4.35,5.65,1,0,0,0,0,82.73,27,13.39,86.54,0.58,1.49,6.97,0,5.63,0,0,0,0,0,0,11.74,0,13.32,40.79,21.21,0
108-118,0,0,0,0,22.56,2.22,0.5,44.28,6.31,8.83,1.95,20.84,0.44,0,3.11,10.4,0.45,12.55,7.63,1.2,1.18,91.69,19.43,11.41,98.86,0.59,0.42,5.13,0,15.16,0,0,0,0.89,0.57,0,5.4,0.43,5.48,35.85,24.57,14.07
120,0,0,0,0,20.12,0,0,30.12,2.11,7.67,8.88,35.3,1.94,0,21.11,9.05,1.67,5.23,0,0,1.33,84.84,2.47,7.96,75.07,13.23,7.65,0,0,4.59,0,0,0,1.04,0,0,24.61,0,8.19,55.37,21.79,0
