stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,20.35,985.97,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,0
  5-6,26.97,463.25,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0
  7-9,5.53,14.28,0,0,0,5.86,0,0,0,0,0,0,42.48,6.92,31.55,0,0,0,0,0,0,0
 10-12,0,4.58,0,16.07,0,0,0,0,0,0,0,0,5.95,0,7.37,0,11.88,0,0,0,0,0
 14-21,0,0,0,0,2.47,1.13,0,0,0,0,0.81,0,5.31,0,0,0,0,0,0.84,3.86,0,0
 24-34,0,0,0,0,1.08,0.75,0,0,4.64,0,0,0,31.82,0,0,1.24,0,0,0,7.61,0,0
 36-46,0,0,0,0,0,0.61,0,0,3.63,0,0,2.01,18.5,0,0,0.62,0,0,0,14.94,0,1.72
 48-58,0,0,0,0,3.45,8.09,0,4.09,6.08,0.41,0,5.21,30.71,0,0,1.14,0,0,0,6.58,0,0
 60-70,0,0,0,0,0,38.01,0,0,8.35,0,0,2.72,30.91,0,0,1.27,0,1.06,0,2.11,0,0
 72-82,0,0,2.35,0,1.05,38.47,0,0,8.44,0,0,1.36,30.68,0,0,2.78,0,0,0,9.72,0,0
 84-94,0,0,0,0,1.27,47.9,0,0,21.38,0,0.94,0,51.06,0,0,5.22,0,0,0,0.66,0,0
 96-106,0,0,1.1,0,0,29.87,0,1,10.57,0,0.93,3.88,10.85,0,0,1.87,0,0,0,6.13,1.1,0
108-118,0,0,0,0,4.94,47.56,0.54,0,12.39,0,0.5,3.01,29.57,0,0,1.2,0,0,0,5.54,0,0
120,0,0,0,0,0,18.46,0,1.58,1.73,0,0,0,30.12,0,0,0,0,0,0,4.72,0,0
