stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.65,0,1.13,0.68,0,0,1.68,1.09,0,0,0,0,0,52.59,0,0,0,0,0,0,15.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,20.39,0,0.64,0,0,0,0.66,0,0,0,0,0,0,157.92,0,0,0,0,0,2.05,35.4,0,0,0,0,0
 48-58,0,0,0,0,0,0,77.78,0,0.97,0.38,0,0,2.15,0,0,0,3.73,0,0.53,466.5,0,0.56,0,0,0,0.45,47.29,0,0,1.59,0,0
 60-70,0,0.91,0,0,0,0,403.83,0.91,6.67,0.58,0,0,0,0,0,0,4.17,6.53,0,1027.71,0,0,0,0.6,0,0,78.33,0.81,0,0,0,0
 72-82,0,1.22,0,2.56,2.41,0,485.18,0.89,11.5,4.4,0,0,6.97,1.39,0.67,6.97,12.74,0.51,0.57,983.57,0,1.43,0,0,0,0,83.61,0,0,0,0,0
 84-94,0,0,0,4.22,0,2.35,384.59,8.01,10.66,1.3,0,0,16.81,0,0.84,0,10.69,0,0,842.35,5.19,0,0.63,3.17,0,3.97,44.37,2,0,0,1.66,0.88
 96-106,0,1.08,0,5.53,4.98,0,239.67,0,12.25,2.64,0,0.73,20.72,0,0,9.68,13.35,0,2.26,648.92,0,3.9,0.79,2.84,1.35,0.82,29.26,4.08,1.93,0.7,0,0
108-118,0,0.6,0,15.48,0,0,254.79,0,9.67,1.6,0,0,21.24,0.42,0,0,8.36,0,0.68,787.21,0,1.07,2.22,3.45,0,0.59,17.18,4.86,0,0,0,1.42
120,0,0,0,3.29,0,0,275.24,0,15.55,0,0,0,16.76,0,0,0,8.99,14.81,5.73,1079.09,5.26,0,1.59,0,0,0,56.79,0,0,0,0,0
