stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,3.47,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,1.55,0,0
 36-46,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,2.45,0,0,0,18.02,0,0,0,0,0,11.06,0,0
 48-58,0,0,0,0,0,6.64,0,0,0.56,0,0,0,0,0,0,0,0,0,0,20.85,0,0,0,0.55,0,4.74,0,0
 60-70,0,0,0,0,0,4.09,0,0,2.79,5.3,0,0,0,0,9.14,0,1.71,0,0,17.44,0,0,0,0,0,2.58,0,0
 72-82,0,0,0,0,0,16.35,0.8,1.03,5.65,115.32,0,0,0,0,18.6,0,5.14,1.21,0.61,46.31,0,0,0,6.4,0,6.32,0,0
 84-94,0,0,0,0,0,7.62,0,0,1.42,284.03,0,0,0,0.75,23.43,0,0,0,0,27.74,0,0,0,5.14,0,11.72,0,4.19
 96-106,0,1.53,7.43,0,0,37.39,0.64,0,6.23,732.42,0.61,0,0,0,348.05,0.6,40.65,1.37,8.6,95.79,0,2.07,2.54,3.7,0,0,1.16,2.7
108-118,0,0,0.89,3.58,5.46,34.8,0,2.21,3.64,926.19,3.97,0,0.99,0.6,630.39,0,13.42,0,3.43,86.68,0.46,0,1.33,1.96,1.1,5.36,0,2.32
120,0,0,0,9.74,0,30.23,0,0,0,304.1,1.29,9.23,0,0,969.12,0,22.53,0,0,98.42,0,0,1.05,1.66,0,0,0,0
