stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,40.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.26,25.31,0,0,0,0,0,0,0,0,0,0,0,0,50.66,0,0,0,121.33,0,0,0,11.58,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0.92,0,0,0,1.86,0,1.32,1.03,0,0,0,0,0,1.56,0,2.33,2.71,0,0,0,0,0
 24-34,0,0,0,0.7,0,0,0,0,4.13,1.95,0,0,16.63,0,2.02,10.26,0,0.94,0,0,0,0,0.93,1.39,0.63,0,0,3.35,0,0
 36-46,0,0,0,0.58,0,0,1.57,1.98,0,0,0,4.05,14.21,0,3.95,3.89,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0
 48-58,0.58,0,0,0.87,4.27,1.49,0.99,0,0,0,0,0,22.76,0.55,3.49,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
 60-70,0,0,0,0.64,1.53,0.81,3.95,1.57,0.93,0,0,1.24,37.26,3.15,5.1,10.83,0,0,0,0,4.78,0,0,0,2.61,0,0,0,0,0
 72-82,0,0,0,4.16,0.96,0,0,0,0,0,0,0,17.26,0,0,4.23,0,0,0,0,1.77,0,0,0,0,0,0,0,5.36,0
 84-94,0,0,0,2.74,2.47,0,0.99,3.51,0.97,0,1.03,0,35.92,0,0,8.46,0,0,0,0,3.75,0,0,0,0,0.55,1.17,0.8,0.89,0
 96-106,0,0,0,1.56,2.88,0,0.62,0,0,0,0,0,26.9,1.97,1.09,3.71,0,0,0,0,0,0,0,0,0,0,0,1.56,4.54,0
108-118,0,0,0,0.76,2.31,0.47,0,0,0,0,0,1.7,5.77,0.92,0,6.59,0,0.45,0.82,0,0,0,0,0,0,0,1.18,2.37,0,3.8
120,1.12,0,0,0,0,0,0,15.53,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0
