stage,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.43,0,0,0,0,0,20.14,0,0,39.91,0,0,0,0
 10-12,0,5.05,0,0,0,0,0,0,0,75.09,0,0,17.29,0,0,0,0
 14-21,0,0,1.03,0,0,1.09,0,0.86,0.98,4.04,0,0,0.83,0,0,1.18,1.05
 24-34,0,0,0.94,0.98,0,0,0,0.72,0,2.08,0,0,0,0,0,0,0
 36-46,0,0,2.19,0,0,0,0,0.66,0,1.22,0,6.26,0,0,3.78,0,0
 48-58,0,0,0,0.81,0,0,0,0.43,0,1.01,0.48,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,1.42,0,3.23,0.89,0,0,0,0,0,0
 72-82,0,0,1.37,0,0,1.26,1.59,1.23,0,1.02,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.02,0,0,1.65,0,4.99,0,0,0,0,0,0,0
 96-106,0,0,0,9.46,0,0,0,0,0,3.23,4.64,0,0,1.49,0,0,0
108-118,0,0,0,6.95,0,0,0,0,0,1.37,1.89,0.53,0,0,0,0,0
120,0,0,0,11.19,0,8.01,0,0,0,0,0,0,0,0,0,0,0
