stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.44,9.05,111.59,20.96,0,43.71,0,0.82,0,19.58,2.33,1.92,0,9.16,0,0,1.47,0,71.4,0,0,49.85,434.3,85.15,0,7.38,12.91,0,17.25,2.56,82.24,21.5,30.63,124.65,202.21,0,0,6.2,0,0.91
 24-34,0,3.15,4.35,58.95,0,0,78.26,0,4.24,2.14,28.55,2.86,6.6,3.14,2.34,0.64,3.32,4.74,8.43,118.27,4.16,2.52,48.49,761.46,33.12,4.96,28.12,0,0,19.51,0,0,66.79,19.37,26.29,230.57,0,0,88.42,0,4.28
 36-46,0,0,0.56,46.47,1.11,0,107.45,6.49,3.75,4.24,85.87,0.57,9.69,0.68,5.88,1.37,7.44,3.66,13.39,172.87,0,4,39.53,806.57,30.36,2.89,21.6,0,3.79,10.6,0.81,1.63,68,8.21,1.38,232.27,0,1.04,30.1,0,14.05
 48-58,0,0,0,25.59,0,0,243.86,7.81,14.04,6.92,165.06,5.4,4.9,1.93,0.61,2.08,3.38,2.11,16.51,209.54,5.58,3.32,24.59,742.3,26.41,4.09,36.37,0,0,12.15,0,0,42.41,12,2.82,204.95,0,1.59,19.58,0,26.22
 60-70,0,0.57,0,24.23,5.3,0,462.04,2.56,4.59,19.73,215.94,10.94,5.32,9.64,0.62,3.16,6.94,0,4.5,275.61,1.01,7.61,26.63,867.35,26.22,1.95,78.97,0,7.72,24.63,0,0,45.2,5.82,0,156.4,1.72,6.99,31.88,1.39,46.22
 72-82,0,2.37,0,48.66,3.91,2.68,424.52,1.01,11.71,7.07,253.39,29.45,3.62,6.49,0.53,8.08,23.04,14.46,7.46,332.46,3.76,14.49,29.89,793.98,9.56,0.74,95.23,0,1.77,19.58,0,0,85.9,3.66,0,74.08,1.36,9.62,39.03,9.52,29.02
 84-94,0,1.14,0,64.31,12.48,0.58,406.59,3.17,9.73,11.84,187.04,31.32,7.54,7.91,11.36,24.49,20.67,12.55,4.58,267.28,0,11.96,33.49,498.2,7.33,0.9,155.21,0,8.35,32.28,0,0,208.83,0.59,0,74.1,3.05,11.29,39.74,19.79,24.67
 96-106,0,3.33,1.07,48.99,38.75,2.59,368.54,3.59,18.58,11.1,296.26,51.37,4.69,11.68,6.5,4.55,44.49,17.83,11.89,219.27,2.07,20.38,32.87,481.27,5.32,5.78,201.49,0,2.01,77.08,3.82,0,149.22,0,0,29.3,4.65,18.19,51.86,11.58,8.65
108-118,0,6.05,0,60.45,1.87,17.51,424.07,4.71,23.36,10.58,191.43,41.55,2.74,16.77,7.87,9.31,20.57,25.29,12.06,274,1.41,13.03,23.19,492.79,12.52,0.6,157.88,0,4.19,34.52,0,0,191.07,3.13,0,20.15,3.76,9.37,52.08,11.07,6.03
120,1.12,2.94,0,106.41,19.26,14.33,309.63,12.43,27.67,9.01,266.43,34.35,6.72,31.72,8.37,7.88,20.36,32.73,10.32,214.71,0,48.23,23.93,893.54,20.74,0,298.02,0,1.79,15.88,0,0,142.25,0,0,25.36,0,19.44,60.31,30.03,2.78
