stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,165.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,12.9,303.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.19,26.66,0,15.2,0,0,20.74,0,0,0,0,25.77,0,0,0,0,0,0,0,0,0,0,177.98,23.48,0,0,78.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.68,0,18.32,0,15.7,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.85,24.14,0,0,136.32,0,0,0,4.36,7.71,0,0,3.28,0,0,0,0
 14-21,0,0,2.11,0,23.78,5.32,8.2,0,0,2.22,0,0,0,0,0,0,0,0,0,28.91,0,7.11,100.52,16.62,0.89,1.1,3.69,0,0,1.68,16.56,0,2.16,24.73,56.23,0,3.18,0,0
 24-34,0,0,0.96,0,0,0.95,7.58,0.74,0,0,0.92,0,0,0,0,0,0.75,0,0,19.88,0,6.7,137.88,1.45,2.81,1.54,0,0,0.72,0,0,0,0,2.8,29.69,0,5.54,0,1.19
 36-46,0,0,1.35,0,0,0,6.77,0,0,8.97,0,0,0,0,0,6.16,0,0,0.91,17.56,0.89,4.1,110.71,0.55,1.3,0.75,0,0,0.63,0,0,0,0,0,26.51,0,1.21,0,0
 48-58,0,0,0,0,1.01,0,30.07,0,1.45,11.6,0,0,0,0.85,0,0.39,0,0,0,20.5,1.38,1.95,111.96,0.76,0,0,0,0,0,0,0,0,0,0,26.68,0,7.48,0,0
 60-70,0,0,0,0,0,0,35.82,0,0,18.09,0,0,0,0,0,0,0,0,0,36.2,0,1.82,115.61,1.31,0,3.91,0,2.4,0,0,0,0,0,0,12.96,0,2.5,0,0
 72-82,0,0,0,0,0.55,1.1,35.71,0,0.83,14.13,0,0,6.32,0,0,0,0,0,0,37.7,6.14,0,79.46,0,1.22,0.49,0,0,0,0,0,0,0,0,4.4,1.42,3.95,0,5.51
 84-94,0,0,2.61,0,1.97,0,65.17,0,0.94,4.17,0,0,0,0.69,0,1.05,0,0,3.13,36.26,11.69,9.99,56.84,3.16,1.86,0,0,0.79,0,0,0,0.56,0,0,7.93,0,7.04,4.77,2.12
 96-106,0,0,0.61,0,0,4.82,46.03,0,0,18.16,0,0,0,1.6,0,1.71,0,0,1.34,16.23,12.48,2.79,104.97,0,0.58,0,0,0,2.39,0,0,0,0,0,16.81,2.74,6.32,0,0
108-118,0,0,0,0,8.82,0.42,47.47,0,0.46,25.11,0,0,3.56,0,1.94,1.36,0,1.55,0.53,38.59,0,3.6,108.91,0.91,4.56,0,0,0,1,0,0,0,0,0,0.64,0,0.69,0.97,3.71
120,0,0,0,0,7.04,0,12.3,0,6.63,21.15,0,0,0,0,0,0,0,0,0,22.78,0,1.91,134.49,3.12,0,2.51,0,0,0,0,0,0,0,0,9.81,5.53,0,2.01,0
