stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.7,4613.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.29,0,0,0,0,0,0,0,0,0,0
  5-6,310.01,5062.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.17,21.92,0,0,30.23,0,875.49,0,0,0,0,0,0,0,0,0,0
  7-9,17.97,38.12,0,73.16,0,0,0,127.05,0,0,0,0,38.84,0,0,0,0,0,0,0,0,0,0,1409.55,62.48,0,0,419.08,0,185.31,7.76,0,0,0,0,0,0,0,0,0
 10-12,0,16.01,0,111.12,0,6.65,0,91.21,0,0,0,0,15.66,0,0,0,0,0,0,0,0,0,0,988.23,0,0,0,134.48,0,17.77,28.3,0,23.91,0,0,0,0,0,0,0
 14-21,0,0,0,40.54,624.28,8.2,0,7.16,4.71,0,0.86,22.94,2.24,1.15,0,37.17,0,0,3.9,29.38,2.14,0,5.26,74.76,5.57,4.63,51.09,17.08,0,367.42,0,25.54,5.51,0,3.9,10.48,0,1.05,0,0
 24-34,0,0,2.78,17.17,227.02,2.98,0,7.22,20.26,0,3.38,5.2,0.76,0,0,32.98,0,15.14,1.9,11.98,8.85,0,4.8,131.79,0,24.69,40.5,0,0,697.61,0,0,23.11,0,0,17.85,0,3.05,0,0
 36-46,0,0,0,2.28,186.46,0,0,4.76,30.07,0,0,8.93,0,0,0,26.96,0,9.32,3.48,5.07,6.58,0,0,177.85,2.37,24.96,31.61,0,0,599.36,2.17,0,8.55,0,0,19.54,0,0,0,0
 48-58,0,0,0.61,1.1,102.4,0,0,9.94,24.39,0,6.89,5.78,9.41,0,0.58,4.88,0,16.53,11.9,5.14,15.71,0,0.57,65.3,0,15.27,34.62,0,0,305.34,0.56,0,10.46,0,0,9.48,0,0,0,0
 60-70,0,0,0.89,0,101.46,0.6,0,17.52,34.9,0,9.11,28.46,1.21,0,0,9.36,0,17.29,10.93,3.41,15.43,0,0,52.58,0,14.57,27.78,0,0,316.47,0,0,6.01,0,0,3.3,2.92,0,0,21.06
 72-82,0,0,9.23,0,102.25,0,0,17.6,16.78,0,0,37.35,2.39,0,1.09,7.94,0,17.05,2.91,7.69,25.38,0,0,86.65,0,36.15,57.37,0,0,232.2,0,0,5.56,3.93,0,5.85,13.5,0,0,0
 84-94,0,0,7.31,2.92,186.82,1.45,0,2.45,28.82,0.61,4.15,58.64,4.43,0,0.71,34.67,0.86,17.4,8.28,6.7,26.54,0.86,0,48.99,0,34.84,45.9,0,0,536,0,0,14.05,0,0,9.61,24.31,0,0,0
 96-106,0,0,11.1,0,235.81,6.89,0,19.75,25,0.81,12.3,86.86,0,0,1.7,29.17,0,37.89,33.06,19.06,22.11,2.23,0,81.3,0,47.68,55.57,0,1.45,583.09,0,0,4.62,0,0,14.04,47.48,5.73,1.06,0
108-118,0,0,2.75,5.16,235.53,0,5.91,25.88,62.52,0,1.6,94.75,0,0,2.6,44.67,0.95,17.22,22.22,23.54,23.82,0,0,69.62,0,43.68,48.87,0,0,393.96,0,0,12.27,0,0,4.44,56.7,2.5,0.73,0
120,0,0,4.95,4.41,207.29,9.35,2.92,25.46,49.7,14.59,0,56.72,0,0,8.18,30.57,0,23.04,4.54,3.14,14.74,0,0,56.65,0,23.74,70.35,0,0,244.56,0,0,20.61,0,0,0,28.74,0,0,0
