stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,17.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0
 14-21,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,1.86,0,0,0,0,0
 24-34,0,6.78,0,0,0,0,0,0,0.78,0,0.66,0,0,2.33,0,0,2,0,0,0,0.7,0,0,0,0,0
 36-46,0,5.06,0,0,1.74,0,0,0,11.52,0,0.57,0,0,2.09,0,0,3.04,0,0,0,4.12,0,0.8,0,0,0
 48-58,0,2.84,0,0,1.15,0,0.8,0,3.99,0,3.14,2.48,0,0,0,0,4.1,0,0,0,2.39,0,0,0,0,0
 60-70,0,6.39,0,0,0,0,0,5.35,10.67,0,0.73,0,0,0,0,0,4.08,0,1.19,0,2.42,0,0,0,0,0
 72-82,0,24.65,0,0,0,0,0,32.81,27.63,0,2.2,1.42,1.51,0,0,0,21.29,0,0,0.5,2.24,0,0,0,1.77,3.97
 84-94,0,19.43,0,0.79,12.4,0,0,69.58,53.18,0,4.2,7.87,0,0,0,0,11.61,0,0,0,8.37,0,0,0,0,0
 96-106,0,25,38.46,2.29,19.34,0,2.01,165.64,387.94,0,42.83,0,19.18,0,19.36,0,491.07,0.78,0,2.7,23.65,0.7,0,4.97,0.78,0
108-118,0,13.93,26.8,0,16.17,1.02,0.86,171.69,1314.99,0.53,4.3,0,9.96,0,1.35,0,21.48,0,0,1.2,10.1,0,0,0,0.87,0
120,0,31.88,463.89,0,19.57,0,35.78,90.59,2189.26,0,4.37,0,3.62,0,2.08,2.83,1.01,0,0,8.13,6.56,0,0,0,0,0
