stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,61.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.71,0,0,0,0,0,0,0
  5-6,17.46,25.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,68.44,0,0,0,0,0,0,0,0,70.72,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,19.01,0,0,0,28.26,0,0,0,0,0
 14-21,0,0,0,36.86,102.12,1.55,2.45,0,0,0,0,36.45,84.24,0,0,3.32,8.12,1.19,0,6.34,2.81,0,0.91,11.3,0,27.04,0,1.67,0,0,0,123.63,0,10.76,0,0,0
 24-34,0,0,2.57,44.04,36.87,0,0.68,0.68,0,0,2.94,16.28,35.12,0,0,13.69,120.65,3.22,0,3.95,9.11,0,2.97,94.91,1.53,272.95,23.08,0,0,6.87,0,178.98,0.61,12.48,0,2.28,0
 36-46,0,0,0,2.28,19.94,0,1.64,0,3.17,0,0,10.19,21.6,0.88,1.9,1.9,63.89,9.68,0,3.52,16.46,0,0.56,328.19,4.6,194.91,4.06,0,0,6.5,0,131.75,0,13.77,0,0,0.57
 48-58,0,0,0,5.04,11.79,0,3.66,0,2.39,0,1.35,12.24,54.76,0,0,0.51,62.27,0.65,0,3.47,11.29,0,1.98,135.48,6.62,125.32,5.4,0,0,2.06,0,68.67,0,2.26,0,0,0
 60-70,0,0,0,2.79,13.01,0,3.56,0,1.26,2.1,3.21,27.35,32.92,0,0,0,78.79,0,0,1.92,9.51,0,0,120.89,0,134.41,3.37,0,0,4.66,0,66.9,0,5.87,6.93,0.96,0
 72-82,0,0,6.15,0,16.68,0,21.89,1.29,0,0,4.06,26.3,10.45,0,0,1.68,153.27,5.7,1.89,11.74,14.74,1.23,0.66,100.97,0,220.06,5.65,0,0,2.97,0,43.5,0,2.31,43.48,1.1,0
 84-94,0,0,8.07,0,21.18,11.18,4.86,0,0.79,0,17.22,113.32,30.86,0,0,4.62,246.93,7.36,5.75,6.23,16.12,0,0,123.42,0,351.63,4.28,0,0,13.74,0,121.85,0,2.28,149.29,0,0.74
 96-106,0,0,6.97,0,43.63,3.05,44.08,0,0,0,7.53,116.78,6.35,0,0.96,2.57,218.81,23.01,0,15.21,13.07,1.41,0,77.01,0,395.22,1.49,0,0.79,7.9,0,48.41,0,0,225.08,0,0.69
108-118,0,0,11.15,0.77,51.61,0,2.08,0,2.39,0,3.85,177.96,0,0,0.96,5.77,196.17,14.26,0,3.67,9.77,0,0,61.29,4.26,305.72,1.6,0,0,14.72,0,60.5,0,0,258.4,0,0
120,0,0,3.99,0,82.3,0,3.93,0,1.5,0,0,90.9,0,0,4.22,5.47,144.1,19.39,0,10.05,5.79,0,8.85,32.19,0,263.79,0,0,0,5.33,4.99,54.9,0,0,100.69,18.63,0
