stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0
  5-6,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,8.77,0,0,0,0,0,0,0,1.45,4.19,4.27,0,0,6.19,19.08,0,0,0.96,0,0,0.86,2.94,0,0,85.29
 24-34,0,0,0.69,0,0,6.89,0,0,0,0,0,0,0,0.89,0.79,3.4,5.84,0,2.36,30.97,0,0.75,0,0,0.6,2.42,4.93,0,0.96,348.16
 36-46,0,0.95,0,0,0,21.35,0,0,12.66,0,8.33,0,0,4.12,5.17,0,12.72,0,3.4,29.49,2.14,0,0,0,0,5.38,3.57,0,0.8,403.96
 48-58,0,0,3.95,1.82,0,12.83,0,13.52,1.53,0.43,0,0,0,3.74,0,0,6.83,0,7.37,14.45,1.35,0,0,0,0,3.29,14.97,0,0.75,383.97
 60-70,0,0,2.4,0,0,13.87,0,0,6.37,0,0,0,0,5.32,0,0,17.48,0,1.72,5.64,0,0,0,0,0,1.9,0,2.97,0,305.52
 72-82,0,0,0,0,0,5.54,0,0,5.57,1.05,0.89,0,0,4.75,0,0,26.76,0,1.3,11.37,1,0,0,0,0.56,0,1.23,0,3.58,200.54
 84-94,0,0,1.5,0,0,17.92,0.78,0,21.14,0.57,0,4.73,0,11.29,4.08,0,21.6,0,1.33,2.97,0.62,0,0,0,1,7.29,0.75,0,0,146.23
 96-106,0,1.68,8.9,3.74,0,14.97,1.15,0,4.79,0,0,0.63,0,12.99,5.37,0,30.85,0.93,0.83,7.7,0.77,0,1.11,0,1.5,2.64,0,1.98,0,123.15
108-118,0,0,1.76,0,7.57,10.59,0,0,8.37,1.56,0,0.65,0.69,33.38,7.05,0,19.24,6.23,2.15,10.04,2.49,0,1.76,0.76,0,2.07,0,0,0,133.92
120,0,0,0,0,7.08,20.97,0,0,22.29,3.8,0,0,0,4.61,2.12,0,53.93,0,0,12.38,14.85,0,0,0,0,0,4.36,0,1.41,66.42
