stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,20.8,297.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0
  5-6,0,142.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.02,0,0,0,22.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.38,5.66,0,0,0,0,0,0,0,0,0,0,0,0,6.68,0,0,2.27,9.23,0,0,0,0,0,0,0,0,0.87,0,3.82,7.03,0,2.35,0
 24-34,0,0,0,4.65,0,2.86,0,1.4,1.24,1.36,0,1.58,0,10.77,0,0.6,0,2.4,0.7,0,3.83,27.1,0,1.85,1.03,0,0,0,0,0,1.78,0.94,1.65,10.49,0,27.17,0
 36-46,0,0,0,8.05,1.1,10.43,1.79,1.17,0,4.46,0,2.17,0,7.92,0,2.96,0,13.81,1.96,1.37,2.19,56.64,2.86,1.2,2.54,0,0,2.16,0,0,0,3.58,0,15.6,0,22.82,0
 48-58,0,0,0.42,2.8,0.41,19.14,4.04,0,0.51,4.34,0,0.78,0,4.16,0.44,7.5,1.41,12.23,0.41,0,0.82,25.02,9.41,1.82,0.91,0,0,6.61,0,0,0,4.36,0,8.37,0,14.84,0
 60-70,0,0,0,0.66,0.56,6.21,1.28,1.14,4.61,10.52,0,0.92,1.48,0.68,0,0.68,0,18.36,0,0,2.02,14.43,0.58,2.84,2.28,0,0,0.83,0,0,1.88,0.64,0,1.75,0,13.68,0
 72-82,0,0,0,0.58,5.25,16.95,0.6,0.51,2.94,11.82,0.81,2.03,0,3.23,0,1.6,0,23.97,4.31,0,0.87,8.9,1.73,0.74,3.14,0,0,0,0,0,0,3.1,0,5.75,0.82,22.2,0
 84-94,0,0,0.66,6.88,0,48.88,1.15,0,3.84,9.77,0.72,0,0,6.75,0,4.39,0,14.41,0.76,0,0.98,10.57,5.83,4.35,0.73,0,0,9.63,1.4,0,0,2.06,0,0,0,27.36,0
 96-106,0,0,2.59,0,4.92,48.49,2.7,0,0,3.27,1.94,0.86,0,5.16,1.09,0,0,19.69,4.31,0,2.53,11.29,2.78,8.78,1.45,0,0,5.11,0,0,0,2.57,0,2.5,1.88,28.8,1.24
108-118,0,0,3.4,2.38,5.04,117.46,1.7,1.19,0,3.83,0.42,2.89,0.68,7.92,0,4.28,0,13.52,3.05,0.56,3.65,16.77,4.96,0.81,4.58,0,0,0.43,0,0,0.43,2.66,0,4.14,0,25.16,1.94
120,2.82,0,3.73,2.37,1.01,44.82,2.85,0,0,22.09,5.62,5.26,1.44,10.65,0,3.23,0,23.85,0,0,0,10.43,9.88,4.61,1.47,0,7.89,0,0,1.12,0,2.07,0,0,0,40.72,0
