stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,11.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.25,0,0,0,0,0,0,0,0,0,0,0,0,12.13,9.37,0,5.22,0,0,0,0
 10-12,0,0,0,0,3.36,0,0,0,0,0,0,0,0,59.63,0,0,6.24,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0.82,2.06,0,0,0,0,0.82,0.87,0
 24-34,0,0,2.58,1.26,0.75,0,12.12,0,0,0,0,0,0,5.27,0,0,0,0,0,2.77,3
 36-46,0,0,0,0,0,0,21.78,0,0,0,0,0,0,1.29,0,0,0,0,0,8.42,0.67
 48-58,0,0,0,0,0.48,0,23.94,0,0,0,0,0,0,1.24,0,0,0,0,0.47,15.25,0
 60-70,0,0,0,0,0.86,0,31.75,0,0,0,1.47,0,0,0,0,0,0,0,1.24,16.43,0
 72-82,0,0,3.33,1.07,0.54,0,37.72,0.62,0,0,1.15,0,0,2.51,0,0,0,0,0,42.67,0
 84-94,0,0,5.53,1.93,0,4.05,69.49,0,0,0,1.27,0.58,0,0,0,0.9,0,0,0,34.38,0
 96-106,0,0,16.22,0,0,1.7,79.14,0.58,0,1.37,1.52,0,0,6.75,0,0,0,0,0,48.3,3
108-118,0,0,29.72,4.96,0.48,2.3,80.78,0,0,0,3.08,0,0,1.53,0,0,0,3.09,0,43.79,0
120,0,0,8.45,12.68,0,1.77,116.31,0,6.31,0,12.87,0,0,0,0,0,0,1.68,0,21,0
