stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,134.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0
  5-6,0,414.67,0,0,0,0,0,0,0,0,0,0,0,165.06,0,0,12.41,0,0,0,0,0,0,0,0
  7-9,11.4,41.25,67.38,0,0,29.75,0,0,7.83,0,0,0,0,694.75,81.12,0,655.21,3.89,0,0,0,0,0,0,0
 10-12,0,21.6,63.43,0,0,0,0,0,0,0,0,0,0,440.24,96.21,0,1209.53,0,0,25.53,0,3.24,0,0,0
 14-21,0,0,0,4.74,0.89,0.85,1.11,1.08,0,0,0.9,3.21,5.65,30.47,4.39,0,10.97,0,197.02,0,1.08,247.16,29.64,0,0
 24-34,0,0,0,0,1.03,1.89,0,0,0,0,0,0,3.81,7.2,1.47,0,0,0,0,0,0,16.91,6.33,0.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,1.27,0,0
 48-58,0,0,0,0,0,2.1,0.51,0,0,0,0,2.06,0,4.51,0,0,0,0,0,0,0,0,2.16,0,0
 60-70,0,0,0,0,0,1.7,0,0,0,3.44,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.41,2.62,0,0,0.65,0,2.12,0,16.3,0,0.92,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.55,0,0,0,0,0,1.12,0,1.89,0,0,0,2.54,0,0,0,0,0,0,1.56
 96-106,0,0,0,0,0,0,2.39,0,0,0,0,2.14,0,3.28,0,0,0,1.22,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.61,6.52,0,0,0,0,3.41,1.79,8.72,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,30.02,0,0,0,0,0,0,0,0,17.7,0,0
