stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.21,0,0,0,0,0,0,0
 10-12,0,0,3.33,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0
 14-21,0,0,1.06,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 24-34,0,1.59,0,0,0,0,2.19,0,0,6.19,0,0,0,0,0,0,4.33
 36-46,0,0,0,0,0,0,1.49,0,0.88,1.67,0,0,0,0,0,0,3.13
 48-58,0,0.38,0,0.75,0.98,0,4.8,0,0.38,0.7,0,0,0,0,0,1.52,1.31
 60-70,0,0,0,0,0,0,3.36,0,0,6.7,0.84,0,0,0,5.3,0,8.37
 72-82,0,0,0,0,0,0,14.33,12.35,0,0,0,0,0,0,1.64,2.49,4.72
 84-94,0,0,0,0.88,0,0,12.62,1.85,0,0,0,0.61,0,3.51,0,2.76,8.59
 96-106,0,0,0.58,0.56,0,0,25.56,12.61,0,1.84,0,0,0,2.01,0,0,2.78
108-118,0,3.05,2.56,0,2.53,0.48,10.06,40.33,0,1.59,0.46,0,0,2.6,0,5.18,11.44
120,0,0,11.29,0,0,0,23.94,46.75,0,4.75,0,0,10.96,0,0,0,4.93
