stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,3.2,0,0,0,0,6.06,0,0,0,3.2,3.6,0,0,0,0
 36-46,0,0,0,0,0,0,2.54,0,0,0,1.19,0,0,0,0,0,4.34,5.5,0,1.74,0,0,0,5.23,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.77,5.11,0,0,3.03,0,0,0,0,0,0,11.54,0,2.71,0,0,0.56,1.72,3.74,0,0,0,0
 60-70,0,0,0,0,0,0,48.53,3.96,0,10.38,1.17,0,0,0,0,2.67,0,18.34,1.86,2.93,0,0,0,2.52,1.43,0,0,0,0
 72-82,0,6.19,0,1.44,0,0,75.02,13.97,0,15.92,0,0,0,0,0,22.77,0,28.48,5.4,7.2,0,0,0,1.76,8.56,0,2.97,1.52,0
 84-94,0,15.47,0,0,0,0,98.95,38.11,3.99,26.99,0,0,0,0,0.62,38.9,0,24.31,2.84,7.1,0,0,0,13.06,3.82,0,0,3.02,9.76
 96-106,0,15.66,0,1.77,9.73,0,236.14,13.12,3.58,37.62,0,0,0.61,0,0,50.8,0,26.1,0,36.24,0,0,0,9.82,17.38,8.13,0,0,0
108-118,0,6.48,0,0,0,0,338.74,13.1,13.04,23.42,0,1.28,2.12,0.97,0,25.43,0,27.09,2.06,56.9,2.34,0,0,3.37,2.72,0,0,0,0
120,0,6.34,0,13.19,0,5.29,301.31,13.14,41.19,28.22,0,0,6.02,0,0,27.46,0,12.8,1.2,15.51,0,0,0,3.23,4.78,0,0,0,0
