stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.95,109.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.77,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,1.74,0,2.14,13.35,0,0,0,0,1.11,3.17,0,4.33,2.07,0,0,0,0,0
 24-34,0,0,0,0,0.87,0,0,1.44,0,0,0.85,0.68,0,0.94,4.87,0,0,48.87,1.9,1.36,0,0,0,0,0,0.64,12.24,0,0,6.37,0,0.73
 36-46,0,0,0,0,1.01,0,0,2.94,0,1.45,0,0,0,1.24,9.65,0,0,92.06,0.75,0,0,0,3.78,0,0,0,8.22,0,0,3.99,0,13.6
 48-58,0,0,0,0,6.01,0,0,4.62,0,0,0,0,0,2.65,15.82,0.44,2.11,105.73,0.99,0.44,0,0,0,0,0,0,28.26,0,0,0.73,0,17.24
 60-70,0,0,0,0,22.61,0,0,3.03,0,0,0,0,0,0.73,22.32,0,1.21,92.25,0,0,0,0,0,0,0,0,21.07,0,0,0,0,18.94
 72-82,0,0,0.62,0,15.32,0,0,13.03,0,0,0.71,0,0,0,44.87,0,0.59,114.3,6.84,0,0,0,0,0,0,0,22.68,0,0,2.82,0.71,4.69
 84-94,0,0,0,0,11.39,0,2.18,12.61,0,1.18,0,0.86,0,3.13,22.89,0,2.79,76.55,2.17,3.98,0,0,0,0,0,0,2.68,0,0,2.38,0,6.93
 96-106,0,0,3.94,1.87,5.82,0,0,9.91,0,0,0,0.83,0,0,35.9,0,0.9,63.92,10.47,0.98,0,1.94,2.39,0,0,0,1.91,0,2.52,0.7,0,2.39
108-118,0,0,1.1,0,7.13,1.32,0,7.93,0,0.74,0,0,0.61,1.33,31.33,0,2.33,84.77,8.77,0.86,0,0,0,0,1.06,0,3.69,0,0,4.06,0.73,2.54
120,0,0,0,14.43,2.22,0,0,0,0,0,0,5.35,0,0,16.06,0,9.35,221.75,9.62,0,0,10.39,0,0,0,0,0,3.15,0,1.62,0,4.69
