stage,epidermis,eye,glial,mesenchyme,muscle,neural,spinal_cord
 24-34,0,0,0,0,0,0,1.07
 36-46,0,0,0,0,0,4.61,0
 48-58,0,0.73,0,0,0,4.12,0.77
 60-70,0,34.17,0,0.72,0,17.49,0.99
 72-82,0.54,74.67,0,0.77,0,31.83,0
 84-94,0,66.65,0,0,0,24.33,3.39
 96-106,0,65.57,4.87,0,0.81,26.36,0
108-118,0,77.49,0,0,0,6.5,0
120,0,74.38,0,0,0,43.97,0
