stage,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,neural,otic,paraxial_mesoderm,slow_muscle,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,4.93,0,0,0,0,0
 10-12,0,0,0,0,0,18.74,0,3.74,0,0,0
 24-34,0.62,0,0,0,0,1.31,0,0,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,4.38,0
 48-58,0,0,2.19,0,0,10.06,0,0,0,3.74,0
 60-70,1.71,0,0,0,0,53.51,0,0,0,7.78,0
 72-82,29.52,0,0,6.44,3.72,89.13,0,0,0,6.72,0
 84-94,25.85,0.57,0,0,0,74.48,1.46,0,0,11.33,0
 96-106,25.81,0,0,0,0,65.35,3.45,0,0,1.73,0
108-118,63.75,0.99,0,0.9,0.67,91.46,2.27,0,0,10.15,0.57
120,131.24,0,0,0,0,153.76,0,0,1.21,10.53,0
