stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,4656.41,37105.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.86,0,0,0,0,0,0
  5-6,5923.66,22226.26,35.43,0,0,0,0,0,0,73.11,0,0,0,0,0,301.29,153.31,75.75,156.88,0,0,0,0,0,0
  7-9,46.38,45.15,44.91,0,232.21,0,0,0,0,52.99,0,0,0,0,0,2762.85,145.89,361.01,7.97,0,0,0,0,0,0
 10-12,0,0,0,0,61.82,0,0,0,0,0,0,0,0,0,0,430.86,0,29.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0.9,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.38,0,0,7.54,0,4.61,0,0,0.98,0,0,1.16,0,0,0
 36-46,0,0,0,0,1.33,0,0,0,0,0,0,0,0,10.7,1.24,2.71,0,0,4.62,0,0,0,0,0,0
 48-58,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,10,17.39,0,0,7.96,0,0,5.31,0,0,0
 60-70,0,0,0,0,2.9,2.07,0.68,0,0,0,0,0,0,0,13.58,16.23,0,0,0,0,0,2.33,0.63,0,0
 72-82,0,0,0,1.88,6.1,0,0,4.7,0,0,0,0,0.79,1.07,32.76,9.62,0,0,5.33,0,0,0,0,2.63,1.16
 84-94,0,0,0,1.35,15.16,0,0,0,0,0,0,0,0,0,16.87,2.15,0,0,0.56,0,0,2.22,0,0,3
 96-106,0,0,0,0,3.12,0,0,6.84,1.59,0,0,0,0,0,14.98,8.12,0,0,9.25,0,0,0,1.01,4.55,0
108-118,0,0,0,1.1,10.31,0,0,5.4,1.06,0,0,0,0,0,13.16,5.37,0,0,10.01,0,0.43,1.62,4.95,3.46,0
120,0,0,0,0,11.04,0,0,0,0,0,0,2.49,0,0,6.77,3.43,0,0,0,0,0,0,0,0,0
