stage,epidermis,eye,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.06,0,0,4.19,0,0,0
 14-21,0.86,0,0,0,0,0,0,0,3.75,0,0,0,4.03,0,0
 24-34,0.88,0,0,0,0,1.87,0,0,7.02,0,0,0,0,1.35,0
 36-46,0,0,0,0,0,0,0,0,2.77,0,0,0,0,2.22,0
 48-58,0,0.69,0,0,0,0.61,0.38,0,6.97,1.71,0,0,0,0,0.71
 60-70,0,2.14,0,0,0,0.85,0,0,9.5,0,0,0,0,1.87,0
 72-82,0,0,2.35,0,0,0,0,0.69,3.01,0,0.53,0,0,0,0
 84-94,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.73,0.78,0,0,0,10.81,0,0,0,0,0,0
108-118,0.58,0.81,0.66,0,0.43,0,0,0,5.63,0,0,0,0,3.71,0
120,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0
