stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,immune,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.12,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0.82,0
 24-34,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,6.71,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,7.73,6.39,0.88,0
 48-58,0,0.66,0,0,0.59,0,0,0,0,1.54,0,0,8.86,0,0,19.41,12.63,0.56,0
 60-70,0,0.66,0,0,0,0,0,0,0,0,0,0,8.98,0,0,8.49,21.35,0.82,0
 72-82,0,5,8.65,0,7.63,0,0,0,0,1.55,1.58,0.73,23.8,0,0,13.59,87.47,0.64,0
 84-94,0,19.27,5.62,0,12.87,0,1.88,0,0,3.28,0.64,0,9.81,0,0,35.89,133.97,0,0
 96-106,0,26.84,0,1.52,5.69,0.59,0.56,0,1.04,2.01,6,0,11.96,0.83,0,3.2,144.83,0,0
108-118,0,33.8,0,0,3.81,0,0.42,0,0.56,1.97,1.31,0,28.4,0,0,16.92,172.57,0,1.02
120,0,18.87,0,1.61,2.77,0,8.16,1.58,7.05,4.77,0,0,38.88,0,3.9,7.09,54.36,0,0
