stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mucous,neural,notochord,olfactory,periderm,spinal_cord,taste,xanthophores
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,23.87,4.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.95,0,2.9,0,0,2.85,4.51,0,0
 24-34,0,0,0,0,0,0,0,0,13.21,0,0,0,3.9,0,0
 36-46,0,0,0,2.19,0,0,0,0,2.79,0,1.4,0,0,0,0
 48-58,0,0,0,1.53,0,0,1.21,0,13.53,0,2.01,0.38,0.6,0,2.55
 60-70,0,0,0,0,0,0,0,0,17.88,3.57,1.02,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,13.8,0,8.5,0,1.37,0,0
 84-94,0,0,0,15.06,1.2,0,2.36,0,8.55,0,7.46,0,0,0,0
 96-106,0,0,0,0.65,0,0,0,0.68,1.63,0,20.74,0,2.32,0,0
108-118,0,0.74,0,1.65,0,0.52,0.95,0,20.92,0,3.31,1.94,4.26,1.33,0
120,0,0,1.23,14.66,0,0,11.14,0,0,0,3.36,0,0,0,0
