stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,0,3.97,0,5.27,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0,0,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,3.12,0,0,0,0,559.88,1.22,0.8,0,0.96,0,0,0,0
 24-34,0,0.6,2.1,0,0,14.33,0,0.85,0,0,0,0,1.17,0,0,2.18,0,7.2,0,0,48.51,2.81,0,0,0,1081.55,0,0,0.6,2.26,0,0,3.06,0
 36-46,0,0,0,0,0,17.76,0,3.07,0.61,0,0,1.25,0,0,0,0,4.43,2.75,0,1.73,27.94,0,0,0,0,1198.47,0,0,0,7.53,0,0,0,0
 48-58,0,0,5.12,0,0,17.18,0,5.56,1.44,0.44,0.48,0.84,4.57,0,0,0,3.03,12.51,0,0.44,22.45,0,0,0,0,844.11,0,0,0,16.18,0,0,0.41,0
 60-70,0,0,4.68,0,0,14.5,0,6,0,0,0,3.31,9.54,0,0,0,0.93,6.57,0,0.8,6.96,1.19,0,0,0,794.48,0,0,0,0,2.13,0,0,0
 72-82,0,0,11.87,0,0,19.91,0.51,3.03,0,0,0,11.57,4.07,0.59,0.65,1.65,4.23,8.82,0,0,20.67,0,0,0,0,659.42,0,0,0,1.71,0,0,0,0
 84-94,0,0,16.13,0,0,2.78,0,27.07,4.03,0,0,18.99,10.47,0,0,1.15,11.27,44.35,0,0.85,18.09,0,0.92,0,0,1864.28,0,0,0,0,0,0,0,0
 96-106,0,0,50.32,7.75,0,32.59,0,15.78,2.78,0.64,0,20.41,8.5,0,1.95,10.61,4,17.23,4.26,0,37.63,1.22,0,0,0,1735.6,0,0,0,0,1.88,1.16,3.61,4.24
108-118,0,0,47.3,0,0.56,5.68,0,16.81,9.48,0.89,0,11.3,14.82,0,0,2.28,5.2,20.42,0,0,31.33,3.66,0,0,1.32,1256.33,0,0,0,2.9,2.64,0,0,0
120,0,0,56.39,0,0,21.23,0,23.8,0,2.66,0,50.03,5.94,0,0,0,9.64,15.7,0,0,38.03,0,0,0,0,760.76,0,0,0,0,0,0,0,0
