stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,37.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.56,381.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,17.88,0,0,0,0,0,0,0,127.05,0,0,0,20.67,0,0,0,0,0,0
 10-12,0,8.63,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,283.05,7.91,0,0,49.64,0,0,0,0,0,0
 14-21,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0,0,0,0,0,1.36,1.03,0
 24-34,0,0,0,0.77,0,0,0,0,0,0,0.97,0.77,3.22,0,0,0.78,4.38,0,1.62,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0.62,2.02,0,0,0,0,0,0,0,0,0.92,0
 48-58,0,0,0,0,0.9,0,0.59,0,0,0,0,0,3.99,0.37,0,4.78,3.74,0,0.68,0.38,0,0,0,0,0,1.31,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,8.28,1.83,0,0,4.98,0,0.49,0.61,0,0,0,0,0,0,0.9
 84-94,0,0,0,0,0,0,2.11,0,0,0.7,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,10.25,0.81,2.62,1.52,0,0,0,0,7.34,0,0,0,0,0,0,0,0,2.4,0.85,0,0,0,3.15
108-118,0,0,0,0,0,0.95,0,0,0,0,0,0,1.33,3,0.98,0,1.49,0,0,0.45,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.3,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0
