stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,107.11,1751.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.35,0,0,0,0,0,0,0,0
  5-6,7.08,905.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,0,0,0,0,0,178.42,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.02,0,0,0,24.17,0,24.99,12.28,0,0,0,0,0,0,0
 10-12,0,0,0,4.05,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,0,0,11.37,0,0,10.57,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,3.18,6.66,0,0,7.56,0,0,0,0.91,1.01,0.88,0.97,0,1.17,0,0
 24-34,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.69,1.88,0,0,0,4.2,0,0.69,0.62,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.41,0,0,2.55,0,0,4.24,0,0,0,0,0,0.61,0,0,2.61,4.18,0,0.99,0,0,0,0,0,0,0,0,0,0,0,1.04
 48-58,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,2.53,0,0,6,0,0,0,3.68,0,0.37,1.38,0,0,0.59,0,0,0,0.55,0,0,0,0
 60-70,0,0,0,0,0,0,1.52,1.45,0,1.8,1.11,0,4.46,0,0,0,2.12,0,6.16,0,1.2,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.39,0,1.83,0,0,5.09,1.32,0.93,6.19,0,0,0,0,0,17.09,0,0.94,2.14,11.52,0,0,0,0,0,1.55,0.85,0,0,0,0,3.42,0,0
 84-94,0,0,0,0,0.67,0.84,1.93,0,0,4.14,1.39,1.44,15.82,0,0,0.78,0,0.83,3.56,0,0,0.56,5.47,0,1,1.05,0,0,2.98,0,0,0,0,0,4.62,0,0
 96-106,0,0,0,0,5.25,0,8.6,0.68,0,4.96,4.4,0,22.05,0.97,0,0,0,1.15,23.17,0.83,0.56,0,14.82,0.71,4.44,0.65,0,2.4,12.13,0,0,0,2.61,1.23,13.3,2.42,0
108-118,0,0,1.15,1.37,3.25,0,2.52,2.71,0.62,13.44,2.46,0.83,21.14,0,7.26,1.11,0,0,29.52,0,0,1.59,18.83,0,1.68,2.4,0,2.56,11.9,0,0,0,0,1.11,10.4,2.57,0.79
120,0,0,0,0,19.52,1.38,2.46,0,0,1.31,0,0,21.25,0,1.17,2.39,10.46,0,7.26,0,0,0,32.62,0,1.32,0,0,5.5,14.89,0,0,0,0,0,17.86,0,0
