stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,389.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.62,105.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.11,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.12,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,118.77,30.44,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,1.03,11.73,0.86,0,0.96,0,0,0,0,0,1.69,1.07,0,0.9,0,0,0,0,2.58,0,0,0,30.42,92.57,0,0.87,0,0,10.98,3.21,0,3.38,16,0,0,0,0,0
 24-34,0,0,0.84,3.04,5.28,0,0,12.27,0,1.53,0,2.48,0,0,0,0,0,0,0,0,0,13.45,0,0,9.75,212.2,64.83,2.23,1.32,0,0,6.06,1.84,0,0,77.6,0,0,9.64,0,1.89
 36-46,0,0,0,0,5.33,0,0,52.14,0,2.6,0,7.28,0,0,0,0,0.61,0,1.15,0,0.89,40.82,0,4.29,2.59,285.63,79.83,9.02,2.33,0,0,14.42,0,0.72,0,116.7,0,0,15.07,0,0
 48-58,0,0,0,0,9.44,0.44,0,51.61,2.97,2.05,1.36,11.17,1.02,0,1.06,2.06,1.46,0.83,1.04,0,0,29.72,1.51,4.64,6.21,337.09,33.14,3.83,1.15,0,0.4,14.41,0,1.6,0,83.08,0,0,8.99,0,7.48
 60-70,0,0,0,0,3.06,2.78,0,154.74,5.16,6.59,11,23.2,0,0,0,2.8,0,9.72,4.8,0,2.61,71.16,0,0,7.38,415.56,42.93,0.72,1.02,0,1.22,4.94,0,0,0,90.19,0,1.27,12.03,0.87,5.08
 72-82,0,0,0.5,0.75,8.25,67.67,0,282.15,0,5.85,1.85,52.7,1.97,0,1.83,1.86,1.03,0,2.12,6.18,7.64,121.51,0.88,0.55,1.13,518.33,16.28,2.14,17.62,0,0,16.49,0,0,0,95.05,0,0,13.23,0.76,17.3
 84-94,0,0,1.55,0,32.07,116.62,0,201.1,1.54,12.27,0.83,42.53,2.22,0,5.71,0.77,2.5,2.35,3.78,0,6.31,92.61,2.6,2.23,3.74,369.12,24.44,2.89,19.07,0,0,27.04,0.84,0,0,28.11,1.98,5.54,1.4,0,8.43
 96-106,0,0,0,0,36.97,133.62,0.6,254.54,1.71,4.94,0,49.81,1.79,0,1.33,6.34,2.38,2.35,10.42,1.32,1.28,94.68,7.39,12.01,10.61,338.86,11.38,7.7,6.84,0,0,35.37,0,0.57,0,25.56,1.69,0.83,25.51,8.72,23.84
108-118,0,0,1.18,0.49,25.1,31.65,3.74,211.37,0.99,3.84,1.79,48.62,3.61,0,0,8.36,2.49,5.17,2.34,1.52,5.48,156.02,2.89,5.22,9.55,330.66,31.89,0.88,13.64,0,0,25.18,0.9,0,0,21.04,0.43,0,26.88,3.34,14.81
120,0,0,0,0,57.45,9.3,0,174.29,0,1.62,0,76.4,1.68,0,1.61,7.8,5.64,1.59,5.84,8.26,0,131.54,0,0,9.08,522.53,75.99,0,2.43,0,0,25.4,0,0,0,26.14,0,0,15.16,0,0
