stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.23,0,0,0,0,0,0,0,0,0,0
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.19,0,0,0,14.43,0,152.06,0,0,0,0,0,0,0,0,0,0
 10-12,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.54,0,0,0,12.39,0,60.46,0,5.54,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,4.15,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,1.16,11.63,0,0,17.19,0,0,0,0,0,519.62,0,0,0,2.35,0,0,0,0,0,0
 24-34,0,0,3.39,14.04,0.81,0,25.2,0,1.81,0,2.45,0,0.65,1.01,0,25.83,0,0,0,0,8.19,96.38,0,4.98,259.55,1.9,5.29,0,0,0,5847.28,0,0,2.78,0.89,21.22,0,0,5.99,0,0.79
 36-46,0,0,0,11.2,0,0,23.03,2.22,22.11,0,8.95,0,0,1.51,0,27.34,0,0,0,0,8.26,109.75,0.92,4.75,168.95,1.89,29.95,0.91,0,0,8356.73,0,0,0,0,37.34,0,0,11.15,0,14.63
 48-58,0,0,0,5.14,2.7,0,108.1,2.14,46.64,1.15,21.66,0,0,0.51,0.85,21.19,0,0,2.57,5.75,49.59,118.59,0.96,3.17,397.01,0.45,8.47,0.41,0,0,8476.67,0,0.44,0,0,93.69,0,0,0.41,0,14.07
 60-70,0,0,0,6.5,0,0,67.39,0,35.26,1.92,6.64,0.64,0,0,0.98,21.53,2.8,1.29,0,0,20.87,40.01,1.27,2.94,154.65,1.1,11.96,0.91,0,0,6489.74,0,0,1.21,0,16.02,0,0,0.81,0.59,0.99
 72-82,0,0,0,9.24,16.05,0,116.15,0,49.44,0,14.74,14.11,0,0,0.68,39.65,0,0,0,0.87,37.09,68.73,4.12,2.62,224.68,0,42.39,0.5,0,1.77,6407.56,1.65,1.24,3.45,0,4.71,4.57,0,30.71,0,15.28
 84-94,0,0,0,20.69,9,0.76,75.4,0,126.65,2.3,14.43,12.68,0,0,0.86,93.36,0,0.65,3.68,0,32.41,119.9,3.16,5.57,156.04,0,34.16,2.91,0,2.3,16137.9,0,0,0,0,31.93,0,0,4.15,0,0
 96-106,0,1.41,0,55.67,24.07,3.53,170.61,0,118.24,9.25,49.8,24.2,0,1.7,7.07,135.09,2.73,0,19.89,0,57.29,152.33,4.14,13.3,458.63,0,29.48,3.23,0,0,15735.46,0,5.09,0.69,0,30.36,8.35,2.72,10.55,11.94,15.54
108-118,0,2.75,0,62.49,14.29,0,107.2,3.96,221.63,2.48,31.12,15.3,0,1,7.42,194.2,2.72,3.04,7.89,0,58.99,205.21,0.69,2.82,220.79,3.17,47.11,2.61,0,0,14385.45,0,5.92,0,0,12.36,3.56,0,4.84,7.7,0
120,0,0,0,32.95,6.26,1.71,28.18,0,101.91,1.74,35.72,1.07,0,0,0,47.85,0,4.79,3.21,0,11.98,91.9,0,5.33,207.21,2.06,1.45,0,0,0,5988.15,0,0,0,0,11.96,0,0,0,0,0
