stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,66.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.59,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.68,57.65,0,0,31.77,0,0,0,0,0,14.24,0,0,0,0,0,0
 14-21,0,0,0,1.99,2953.8,16,0,47.34,0,86.11,0,57.62,15.29,0,0,0,4.31,0,0.93,0,0,84.09,16.62,0,69.93,260.43,32.89,2.54,26.71,5.29,0,2.91,7.92,0.9,1051.85,2010.52,786.73,0,0,0,0,0
 24-34,0,0,0,0.7,1497.54,1.5,0,99.03,134.47,561.37,1.37,217.8,4.46,0,8.84,1.4,3.16,0,10.55,0,0,28.3,9.9,0,130.35,462.19,8.04,0.91,56.04,0,0,14.56,4.63,5.24,414.69,532.34,623.24,0,0,5.59,0,0
 36-46,0,0,0,0,355.79,1.39,0,98.99,287.04,323.24,11.85,123.25,1.78,0,1.06,17.81,1.57,0,4.42,0,9.78,16.08,1.86,0,81.51,174.86,2.81,0.68,49.55,0,0,9.01,0,2.58,487.84,13.99,255.21,0,1.37,1.99,0,5.76
 48-58,0.58,0,0,0,272.57,0,0,110.68,338.19,436.31,0.67,107.43,2.76,0,0,1.77,0.39,5.88,6.39,0,0.64,53.25,9.27,0,65.92,264.7,1,1.14,98.72,0,0,12.38,0,20.1,210.52,0,108.07,0,0.42,3.12,0.9,5.89
 60-70,0,0,0,0,247.56,0,0,75.07,255.59,301.63,1.87,75.28,14.84,0,0,1.9,2.04,0,1.48,2.74,0,16.21,0.85,1.05,70,160.43,0,0.98,71.84,2.43,0,6.89,0,11.32,133.52,0,66.73,0.77,0,0,0,0
 72-82,0,0,0,0,83.79,0.76,0,106.79,182.91,156.45,2.47,121.81,1.22,0,0,2.58,4.58,0,10.34,0,0,31.2,0.88,0.76,27.51,128.37,1.43,0.49,77.64,1.13,0,6.2,0,5.44,74.21,0,27.16,0,0.88,5.23,0,0
 84-94,0,0,0,0,175.25,0,0,102.78,287.76,226.67,1.19,155.11,1.93,1.34,1.1,15.86,8.13,0,3.54,0,0,36.58,0,10.41,45.21,83.71,2.17,0,103.41,0,5.27,5.95,0,2.63,108.1,0,3.21,0.97,0,10.19,3.61,5.38
 96-106,0,0,0.83,0,178.3,7.83,2.52,70.57,360.52,121.91,0.97,145.61,0.75,0,0,6.11,7.89,0,6.91,0,0,64.29,1.99,0,20.56,145.8,0,2.72,144.48,4.82,0,14.17,0,0.87,65.32,0,10.39,3.42,0,8.37,3.05,0.73
108-118,0,0,0,0,55.91,2.21,0,57.51,285.59,135.04,2.59,240.6,4.3,0,0.88,2.54,8.41,0,4.22,1.37,0.78,41.44,4.68,6.76,46.86,65.84,0,2.19,140.56,8.11,1.28,1.51,0,2.97,47.79,0,18.32,0.9,0.8,2.01,0,6.52
120,0,0,0,0,166.02,1.25,1.03,24.25,189.56,83.69,3.22,130.33,2.61,0,3.84,13.61,7.28,0,8.09,0,18.59,4.55,4.51,0,27.5,93.09,0,0,172.84,0,0,0,2.24,1.22,17.56,0,35.65,0,0,1.33,0,0
