stage,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,1.03,1.26,0
 24-34,0,0,0,0,0,0,0,0,0.72,1.77,0,0,13.39,0,0,1.08,0,0,0.62
 36-46,0,0,0,0,0,0,0,0,0,0.58,0.72,0,18.48,0,0,0,0,0,0.88
 48-58,0,0,0,0,0,0,0.74,0,0,1.61,0.38,6.91,22.36,0,0,0,0,0,10.98
 60-70,0,0,0,0.65,0,0,9.59,2.45,0,4.54,7.33,5.59,26.59,0,0,0,0,0,0
 72-82,0,1.32,0,1.44,0,1.22,0.58,0.59,0,0.49,5.74,4.05,53.96,0,0,0.66,0,0,2.1
 84-94,0,0,0,0.84,0,2.17,0,0,0,4.87,1.9,6.52,62.31,0,0,0.81,0,0,6.11
 96-106,0,0,0.63,4.48,0,1.33,0,0,0,4.35,4.19,0,64.43,0,0,0.73,0,0,0
108-118,0,0,0,0.43,2.94,5.46,0,0,0,0,6.63,3.01,80.13,0,0,0.67,0,0,4.59
120,0,0,0,0,0,0,0,0,0,1.61,11.9,0,124.1,0,4.41,1.02,0,0,0
