stage,blastomeres,endoderm,epidermis,eye,liver,mesenchyme,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord
  5-6,28.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.81,8.54,0,0,0,0
 10-12,0,17.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.71,0,0,0,1.5,0
 24-34,0,0,0,0,0,0,0.92,0,0,1.06,0,0
 36-46,0,0,0,2.08,5.5,0,2.18,0,0,0.69,0,0
 48-58,0,0,0,0.44,0,0,0.88,0,0,0,0,1.14
 60-70,0,0,0,2.45,0,0,9.37,0,1.82,0,0,1.35
 72-82,0,0,1.44,0,0,0.52,4.59,0,0,0,0,0
 84-94,0,0,0,2.13,0,0,2.28,0,0,0,0,0
 96-106,0,0,0,0,0,2.64,0,0,0,0,0,0
108-118,0,0,0,1.02,0,0,3.81,0,0.46,0,0,0
120,0,0,0,0,0,0,3.1,0,0,0,0,0
