stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,103.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,136.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,6.62,0,0,0,45.35,0,4.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0,0,0,13.17,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.64,0
 36-46,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,2.16,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.37,0,0,3.49,0,0.4,0,0,0,0,0,0,8.18,1.26,0,0,7.69,0,1.47,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.04,0,0.6,0,0,0,0,0,0,7.38,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.58,0,0.68,0,0,1.42,0,0,0,123.04,0,0,0,10.96,0,0,0,0,0,0,0,0,1.47,0
 84-94,0,0,0,3.55,0,7.22,0,0,0,0,0,4.24,0.82,0,213.67,2.7,0,0,15.17,0,0,0.79,0,0.64,0,1.22,0,0,0
 96-106,0,0.71,0,4.09,0.59,0.67,1.31,0,4.05,0,0,1.39,0,0,523.38,9.33,0,0,62.92,1.12,1.9,0,0,5.68,0,0,0,0,6.73
108-118,0,0,4.78,2.09,0,18.09,3.44,0,2.68,0,0.88,0.49,0.54,0.84,908.78,7.35,0,0.7,59.3,0,0.46,0,0,2.17,0,0,0.67,0,5.83
120,0,0,0,0,0,0,0,5.43,3.3,0,0,0,0,3.15,505.99,0,0,2.16,29.98,0,0,0,0,0,0,2.05,0,2.39,0
