stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,0,0,0,11.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,64.59,5.34,0,0,4.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,1.21,0,0.82,0,0,0,1.2,0,0,0,0,0,0,1.13,0,0,79.3,0,3.47,0,0,0,0.91,0,60.87,0,0,0,0,0
 24-34,0,3.53,0,0.79,0,3.02,0,0,2.01,0,0,0,0,0,0,0,0.77,0,1.67,207.96,0,15.03,0,0,0.61,0,0,67.65,0,0,0,0,0
 36-46,0,2.86,0,0,0,9.38,0,0,8.65,0,0,0,0,0,0,0,1.51,0,0,343.37,2.73,25.98,1.46,0,0,0,0,107.83,0,0,0,0,0
 48-58,0,2.81,0,2.8,0,33.5,0,0.44,30.43,0,0,0,0,0,0,4.05,3.3,0,0.51,420.53,1.4,22.29,0,0,0.37,0,0.73,102.33,0,0,0,0,0
 60-70,0,0.62,0,0,0,178.62,0,0,42.73,0,0,0,0,0,0,0,2.84,0.99,0,919.09,5.22,16.7,0,0,3.08,0,0,116.52,0,0,0,0,0
 72-82,0,4.95,0,5.35,0,367.29,0,2.98,156.88,1.33,0,0,0,0.6,0,0.49,33.25,3.86,0.52,1241.6,0,34.78,0,0,0.49,0,0,184.34,0,0.56,0.6,0,7.51
 84-94,0,4.56,0,3.61,0,302.53,0,0.59,98.03,0,0,0.68,0,0,0.83,0.96,5.86,0.66,0.98,1001.39,0,20.55,2.19,0,2.23,0,0,138.28,0,0,0,0,1.41
 96-106,0,4.35,0,10.74,1.5,290.63,0.98,0,225.94,4.64,3.86,1.51,1.03,1.72,9.08,0.68,14.14,6.67,0,1127.99,0,59.28,0.82,0,13.59,0,0,85.82,0,0,6.01,1.17,0
108-118,0,3.65,0,6.39,0.7,426.23,0,0,208.11,3.3,0,3.24,0,0,1.83,0,23.16,0,0.43,1350.83,0,37.39,1.13,0,0.48,0,0,94.4,1.35,0,0.99,0,0
120,0,5.37,0,3.4,0,357.86,2.44,2.41,268.16,0,0,0,0,0,0,0,17.91,0,2.57,1869.51,0,69.94,0,0,2.73,0,0,127.38,0,0,6.69,0,0
