stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,44.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.18,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.04,7.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.09,14.79,0,20.43,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,1.95,0,0,0,0,0,1.01,0,0,0.94,0,0,0,0,0.91,0,0.81,1.11,0,0,0,0
 24-34,0,0,1.56,3.14,0,0,0,0,1.04,0,0,0,1.16,0,0,0,0,0,1,0,2.48,0,0,0,0
 36-46,0,0,0,6.11,15.41,0,0,0,0.57,0,0,0,5.83,0,0,0,0,0,0,0,0.75,0,0,0,1.44
 48-58,0,0,0,40.46,163.59,0,3.06,0,0,1.28,0,0,17.42,0,0,0,0.52,0,0,0,1.98,0,0,0,0
 60-70,0,0,0,33.47,465.83,0,0,0,0,5.6,0,0,16.52,0,8.3,0,0,0,0,0,0.99,0,0,0,0
 72-82,0,0,0.78,205.56,460.41,0,0,1.93,0,1.02,0,0,15.77,0,0,0,0,0,0,0,0,1.01,0.62,0,5.89
 84-94,0,0,0.74,229.63,402.26,0.68,1.21,2.85,0,3.79,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,362.9,361.15,0,0,0.76,0,7.33,1.41,0,7.99,0,0,0,0,0,0,0,1.8,0,0,0,5.99
108-118,0,0,0.45,176.04,328.52,0,0,0.56,0,1.23,0,1.65,9.75,0.59,1.82,0,0,0,1.41,0,0,0,0,3.36,0
120,0,0,1.45,181.4,230.13,0,0,0,0,0,0,0,33.36,0,0,0,0,0,0,0,0,0,0,0,0
