stage,axial,blastomeres,endoderm,epidermis,eye,glial,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,12.37,782.2,0,0,0,0,0,0,0,0,0,0,45.88,0,0,0
  5-6,29,462.27,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0
  7-9,0,0,4.39,0,9.32,0,0,82.93,8.44,0,0,31.33,0,0,0,0
 10-12,0,0,0,0,0,0,0,28,0,0,0,16.58,0,0,0,0
 14-21,0,0,0,3.9,0,0,0,0.91,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.41,0,0,1.24,0,0,0,0,0,1.06,1.89,0
 48-58,0,0,0,0,0.44,0,0,3.87,0,0,0,0,0,0,0,0
 60-70,0,0,0,4.64,1.04,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.44,0.65,0,2.39,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,3.5,0,0,1.42,0,0,0,0,0
108-118,0,0,0,1.24,0,0,0,4.03,0,3.07,5.2,0,0,0,0,0.66
120,0,0,0,0,0,1.08,0,43.04,0,0,0,0,0,0,0,0
