stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3.94,78.73,8.61,0,10.04,0,0,0,5.99,6.12,1.92,0,0,2.01,0,0,0,1.29,27.72,0,0,12.79,156.23,13.12,1.13,1.61,2.36,0,38.16,43.68,5.61,2.51,31.44,61.34,0,0,1.23,0,0
 24-34,0,32.04,1.9,0,20.5,0,2.09,0.83,9.49,2.72,0,0,1.46,9,22.56,1.37,0.65,0.78,37.06,2.21,0,20.34,367.51,1.84,4.17,8.61,0,0,94.91,0,3.85,2.07,6.04,181.94,0,0,5.7,0,2.23
 36-46,0,32.3,1.06,0,52.77,0,0.77,1.21,11.08,0,0,0,2.12,0,0,0.72,1.5,1.47,41.98,0,0.89,5.67,445.15,0,5.28,0,0,0,53.26,0,0.67,0,0,217.4,0,0,6.36,0,0
 48-58,0,6.7,8.71,0,92.27,0.39,0,0.5,32.93,0,0,0.95,1.49,0.46,0,2.94,9.13,7.1,23.13,0.97,0.85,2.09,380.13,0.6,0.76,0.74,0,0,31.08,0,0.59,0,0,110.65,0,0,9.52,0,14.04
 60-70,0,9.34,1.76,0,161.79,0,5.31,0.89,29.49,0,0,0,1.73,0.6,1.14,0,0,0,30.13,0,0,5.49,369.01,0,2.3,3.91,0,0,71.65,0,2.1,0.62,0,98.03,0,0,0,0,14.78
 72-82,0,3.88,4.56,0.9,108.94,0,0,1.97,93.17,0,1.3,0,1.18,1.53,1.24,0,6.96,0,57.42,0,1.23,0,299.68,0,1.42,3.42,0,0,19.75,0,0.77,0,0,75.21,0,1.39,1.85,0.49,8.65
 84-94,0,9.87,1.45,0,87.46,0,1.02,2.92,63.01,2,0,4.19,0.61,1.46,0.83,1.32,0,0,56.62,0.76,14.54,0.84,242.21,0.57,4.82,1.7,0,0,33.64,0,2.14,0,0,56.21,0,4.42,3.31,0.61,0
 96-106,0,8.62,1.52,0.95,46.53,0,0,0,51.26,0,0,0,2.9,0.66,1.5,0,0,4.19,78.85,2.03,0,0.79,182.53,0,1.87,2.41,0,2.14,27.39,0,0,0,0,36.3,2.96,0,7.53,2.2,0
108-118,0,0.86,6.2,1.06,68.53,0,0,1.52,66.66,6.23,0,0,1.01,1.93,0,1.23,0,0,36.89,0,1.32,4.14,310.58,0,4.35,5.79,0,0,7.14,0,0.68,0,0,19.59,0.43,0,2.56,1.68,0
120,1.28,9.7,14.73,0,59.58,0,1.31,8.35,168.71,2.68,0,1.15,4.53,1.17,7.23,0,6.71,0,27.67,1.46,0,0,333.97,0,0,6.76,0,0,16.75,0,5.99,0,0,34.2,0,0,14.33,0,0
