stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,36.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.13,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0
  7-9,18.47,0,0,0,0,0,0,0,0,0,0,46.66,0,8.53,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.32,5.33,0,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0,0,0,0,0,2.63,0,0,0,1.12,0,1.05,5.78,0
 24-34,0,0,0,1.67,0,0,0,0,0.96,2.09,0.79,18.88,0,0,0,0,0,0,6.13,0
 36-46,0,0.61,0,2.2,0,0,0,0,0,0,0.65,39.9,0,0,0,0,6.64,0,6.39,0
 48-58,0,5.24,0,8.46,7.53,0,0,0,0,4.99,0,35,0,0,0,0,0,0,6.37,0
 60-70,0,0,0,13.71,0.84,0,0,0,0,3.4,0.82,49.24,0,0,0,0,0,0,8.93,0.84
 72-82,0,0,0,28,1.5,0,0.85,0,0,3.98,0.55,25.57,0,0,0,0,0,0,3.77,0
 84-94,0,1.34,0,2.23,0,0,0,0,0,2.01,0.95,22.33,0,0,0,0,0,0,1.55,0
 96-106,0,0,4.68,10.18,3,0,0,1,0,1.45,1.47,18.85,0,0,0,0,0,0,0,0
108-118,0,0,0,5.98,2.31,1.54,1,0,0,0,0,22.64,0,0,1.08,0,0,0,0,0.79
120,0,1.56,0,14.79,0,0,0,0,0,5.41,1.67,52.59,0,0,0,0,0,0,0,0
