stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,0,505.05,0,0,0,0,0,0,68.69,0,0
  5-6,35.42,391.07,0,0,0,0,0,0,8.88,0,0
  7-9,0,6.45,12.88,5.58,20.37,224.52,5.45,74.33,0,5.74,0
 10-12,0,25.11,42.82,35.17,0,444.89,21.85,77.41,0,0,19.91
