stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,339.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,20.86,198.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.47,10.72,0,0,10.04,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.73,0,4.2,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.76,0,0,0,18.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,41.77,5.7,0,0,36.8,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0.8,13.84,32.17,0,0,0,0,0,0,0,2.27,0,0,0,0,95.47,0,10.67,0,0,0.9,108.28,0,2.49,647.37,0,0,3.8,0,1.7,35.07,0,0,0,0,0
 24-34,0,0,0.75,1.6,4.17,0,2.85,0,0,0,0,0,0,0,0.69,0,0,72.1,0,18.28,0,0,7.64,214.14,0.66,5.97,749.71,0,3.46,0,0.61,0,68.15,0,0,3.32,0,2.6
 36-46,0,0,0,0,17.53,0,13.74,0,0,5.44,0,0,0,2.78,0,0,2.35,22.1,0,25.12,0,0,6.1,231.88,1.51,8.76,561.96,5.14,8.88,0,0,0,73.07,0,0,0.69,0,0
 48-58,0,0,0,0,4.04,0,18.85,0,1.96,8.55,0.42,0.52,0,0,0,0,4.37,1.06,4.15,31.48,0,0,3.99,230.99,0,6.89,356.65,0,3.02,0,0,0,41.23,0,0,0,0,0
 60-70,0,0,0,0,3.83,0,43.05,0,0,8.29,0,0,0,0,0.86,0,13.44,0.68,0,16.84,0,0,0,119.4,0,15.94,329.33,0,6.6,0,0,0,39.04,0,0,0.72,0,0
 72-82,0,0,0.58,0,4.96,0.75,58.1,0,0,7.42,2,0,0,1.08,0,0,26.25,3.69,0,21.62,0,0,0.51,113.13,0,11.77,264.33,0,2.53,0,0,0,8.7,0,0,0,0,0
 84-94,0,0,1.14,0,5.09,0,54.54,0,0.67,3.86,1.5,0,0,0.64,0,0,41.07,0,0,27.77,0,1,0,73.57,0,67.68,559.74,0,1.23,0,0,0,5.7,0,0,1.14,0,0
 96-106,0,0,0,0,8.3,0,32.25,6.06,0,0,0.93,0,0.76,0,0,0,72.71,0,0,26.44,3.29,1.02,0,122.74,0,157.63,478.46,0,0.83,0,0,0,0,2.47,0,1.35,1.91,0
108-118,0,0,0,0,3.77,1.33,35.39,0.42,0,4.47,2.93,0,0,0.68,0.68,0,47.36,0,0,15.33,0,0,0,120.64,0,91.35,578.89,0,2.4,0,0,0,5.86,2.05,0,0,0.57,0
120,1.12,0,0,0,20.97,0,18.11,13.88,0,18.73,8.06,0,0,0,2.21,1.01,74.91,0,0,24.67,0,21.6,0,83.92,0,77.65,276.93,0,0,0,0,0,3.17,0,3.52,17.7,0,0
