stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,11.51,333.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.78,547.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,11.17,0,16.39,7.15,0,0,0,0,0,0
  7-9,42.43,28.43,83.55,0,0,62.4,0,0,0,22.32,0,0,0,0,0,0,561.22,154.6,0,246.67,0,0,0,0,0,0,0
 10-12,0,36.3,34.67,0,0,48.08,0,0,0,8.93,0,0,0,0,0,0,547.57,44.26,0,120.48,0,0,3.38,0,0,0,0
 14-21,0,0,2.26,1.65,2.94,6.6,0,0,0.88,0.98,2.07,0,0,3.43,0,3.64,58.92,2.81,0,0.98,0,6.68,0,0.96,4.15,21.67,2.09
 24-34,0,0,0,0,0,7.51,0.59,0,0,0,0,0,0,5.19,0,0.98,50.55,2.32,3.51,0,0,0,0,0,0,14.41,4.42
 36-46,0,0,0,0,0,0,0,0.8,0,0,0.89,0,0,5.25,0,0,19.99,1.8,1.27,0,0,0,0,0,0,8.99,0.94
 48-58,0,0,0,0,0,5.66,3.67,0.38,1.86,0,0,0,0.83,5.75,0,0,14.91,1.35,1.09,0,2.22,0,0,0,0,10.95,0.61
 60-70,0,0,0,0.78,0,0.66,0,0,1.38,0,0,0,0,10.03,0,0,26.52,0,0.72,0,8.8,0,0,0,0,0,0
 72-82,0,0,0,1.51,0.54,1.77,0.5,0.64,3.04,0,2.07,0,0,21.33,0,0,11.59,1.26,0,0,3.66,0,0,0,0,0,0.55
 84-94,0,0,0,3.49,1.87,11.3,0,0,0,0,0,0.67,0,0.79,0,3.13,8.46,4.03,0,0,43.21,0,0,0,0,0,0.81
 96-106,0,0,0,4.03,5.43,1.31,0,0,4.57,0,0.79,0,0,15.65,0,4.1,0,0,0,0,23.96,0,0,0,0,0,1.44
108-118,0,0,0,2.73,1.5,12.75,0,0,5.1,0,0.86,2.05,1.93,8.9,2.75,4.19,11.78,0,0.91,0,27.28,0,1.23,0,0,0,2.33
120,0,0,0,0,0,3.67,0,0,0,0,0,0,3.19,2.28,0,4.12,7.92,6.22,0,0,2.43,0,0,0,0,0,0
