stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,54.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,187.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.19,15.14,0,0,0,0,0,0,0,0,0,0,0,0,23.25,34.14,4.42,864,0,0,0,0,0,4.35,0,0,0,0,0
 14-21,1.47,0,7.04,11.52,13.95,0,1.34,1.07,0,0,0,0,308.03,0,211.03,179.82,1.95,5.14,0,3.18,564.02,0,5.47,176.38,51.89,0,0,2.82,0
 24-34,0,0,2.38,0,10.84,0.67,2.73,0,0,0.67,0,0,501.51,0,89.84,110.6,0,0,0,0,2.17,0,0,27.28,23.09,0,0,0,0
 36-46,0,0,0.6,0,0,2.25,2.6,0,1.12,2.14,0,0,806.28,0,94.04,88.83,0,0,1.69,2.35,1.39,0,0,0,15.32,0,0,0,0
 48-58,0,0,0,0,15.81,0,8.45,0,0.59,1.47,0,0,550.49,3.93,42.15,75.85,0,0,0,0,0,0,0,0,13.04,0,0,1.31,0.9
 60-70,0,0,0.57,0,59.69,8.01,0,0,0,4.06,0,0,497.91,2.63,24.49,50.63,0,0,27.41,0,0,0,0,0,8.22,0,0,0,0
 72-82,0,0,0,0,133.59,1.23,2.37,0,0,2.09,0,0,379.3,0.78,15.68,23.19,0,0,5.58,2.38,0,0,0,0,0,1.58,0,0,1.73
 84-94,0,0,0,0,106.12,0,3.94,0,0,4.7,0,0,391.98,2.75,20.25,10.46,0,0,13.57,0,0,0,0,0,8.25,0,1.7,0,0
 96-106,0,0,1.21,3.59,49.84,0,1.66,2.34,0,0,0,0.59,300.35,0,21.81,40.15,0,0,2.4,0,0,2.13,0,0,0,0,0,0.91,0
108-118,0,0,0,0,79.31,0,1.89,0,0,1.74,0,1.34,244.15,1.62,16.54,34.72,0,0,22.09,0,0,0,0,0,0,0,2.06,0,0
120,0,0,1.24,4.28,11.38,0,0,0,0,0,1.45,0,266.42,0,9.26,47.24,0,0,5.29,0,0,0,0,0,0,0,0,0,0
