stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,1.3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.95,0,0,0,0,0,0,0,0,1.18,0,4.21,0,221.05,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.05,0,0.89,0,0,0,0,0,0,0.53,0.7,7.37,0,153.99,0,0,0,1.05,0,0,0
 60-70,0,0,0,0,1.59,0,0,8.22,0,0,0,0,0,0,0,11.01,0,246.28,0,0,6.25,0,0,0,0
 72-82,0,0,1.28,0,3.52,1.83,0,0,0,0,0,0,8.15,0.56,1.24,5.68,0,470.86,0,0,3.1,0,0,0,0
 84-94,0,0,2.44,0,8.77,0,4.71,0,0,0,0,0,4.4,5.63,0,9.94,0,856.04,0,0,13.65,3.25,1.17,0,0
 96-106,0,0.62,24.16,0,32.15,2.19,15.05,3.97,2.3,0.77,0,1.56,5.36,23.57,0.95,51.36,0,1876.23,0,0,7.34,8.58,1.93,0,1.55
108-118,0,0,42.97,5.81,6.28,1.47,11.42,0.73,0.47,0,0,1.16,23.06,4.24,1.21,10.32,0.54,1269.5,0,1.57,4.71,3.33,3,1.11,0
120,0,0,7.7,0,0,0,9.05,0,0,0,12.67,0,6.3,0,0,0,0,674.4,0,0,0,0,0,0,3.65
