stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,40.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,44.73,0,3.82,0,0,0,0,0,0,0,0,0,0,0,102.59,20.86,0,0,109.11,0,0,4.61,12.35,0,0,13.76,0,0,0,0,0
 14-21,0.88,5.1,0,0,0,0,5.44,0,0,0,0,7.96,0,12.95,124.77,1.94,0,0,1.79,0,0.92,1.69,0,0,10.71,83.34,0,0,0,0,0
 24-34,0,1.91,0,0,0,0,4.93,0,0,0,0,4.15,0,8.58,234.48,0,0,0,0,0,0,0,0,0,0,113.56,0,0,2.79,0,0
 36-46,0,4.98,3.8,0,1.39,0,2.72,0,0,0,0,15.26,0,6.17,706.76,0,0,0,0,0,1.13,0,3.58,0,0,338.71,0,0,3.49,0,10.95
 48-58,0,2.16,27.27,0,0,0.82,7.13,0,0,0,2.79,20.64,6.27,4.88,694.61,0,0,0,0,0.39,0,0,0,0,0,206.17,0,0,0,0,0
 60-70,0,0,9.42,0.63,1.14,0,12.47,0,0,0,0,21.24,0,3.09,696.97,0,4.71,0,0,0,0,0,0,1.58,0,132.28,0,2.72,0,0,0
 72-82,0,4.01,20.4,0,0,1.27,6.22,0,0,1.17,0,25.39,1.76,5.36,328.75,0,0,0,0,0,0,0,0,0,0,41.46,0,0.5,3.72,1.05,0
 84-94,0,2.26,13.83,1.25,0,0,6.81,0.58,0,0,0,19.06,1.77,4.04,210.05,0,0,1.22,0,0,2.62,0,0,0,0,17.6,0,1.24,10.1,2.08,0
 96-106,0,1.52,0,0.86,0,0,4.03,0,0,0,0,6,0,5.86,91.7,0,0,0,0,0,0,0,0,0,0,4.01,0.83,1.88,3.58,4.39,0
108-118,0,3.32,3.14,0,0,0,9.63,4.38,0.42,0,0,38.85,0,1.86,176.62,0,0,0,0,6.23,0,0,0,0,0,3.75,0.44,0,0,3.44,0
120,0,2.64,16.43,0,0,0,21.53,0,0,0,0,28.08,0,0,178.35,0,0,0,0,4.59,0,0,0,0,0,18.15,0,0,17.7,0,0
