stage,blastomeres,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,56.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,112.4,0,0,0,0,0,0,11.72,0,6.56,0,0,0,0,0
  7-9,0,0,12.6,0,8.07,0,0,92.25,20.26,40.22,3.28,0,0,0,0
 10-12,6.14,0,6.3,0,0,0,0,176.25,9.21,133.27,11.92,0,4.48,0,0
 14-21,0,0.87,0,0,0,0,2.01,0,0,0.86,0,1.79,0,3.53,0
 24-34,0,0,0,0,0,0.71,0,1.23,0,0,0,0,0,0,1.2
 36-46,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.78,0.6,0,0,0,0.97,0,0,0,0,0,0,0
 60-70,0,0,5.6,0,0,0,0,9.74,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0
 84-94,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0
