stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,gut,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,14.16,121.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.59,95.35,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,0,0,0,0
  7-9,0,0,13.4,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
 14-21,0,0,0,3.83,0,0,0,0,0,0,15.42,9.8,0,5.06,1.96,1.22,0,0,1.87,0,0
 24-34,0,0,0.6,2.83,0,0.81,0,2.95,0,1.34,3.71,0,2.19,0.85,0,0,0,0,0,0,0
 36-46,0,0,0.56,2.1,0,0,2.61,1.85,0,0,3.84,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.05,0,0,0.48,0,0,0,0,0,0,0,0,1.69,0
 60-70,0,0,0,0,0,0,0,3.6,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.56,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.15,0,0,0,1.98,0,32.88,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.23,0,1.42,0,3.39,0.59,29.98,1.6,0,2.53,0,0,0,0,0,0,0,3.35
108-118,0,0,0,1.88,0.43,4.12,0,2.08,0,229.01,1.22,0,16.05,0,0,0,0,0.43,0,0,1.94
120,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0
